block,arity,internal_nodes,topology,M_anchor,eta_anchor,pattern,scientific_instance_hash,tree_hash,homogeneous_ambient_bound,homogeneous_projected_bound,nodewise_bound,nodewise_projected_bound,path_sum_bound,path_sum_projected_bound,mixed_mask_bound,optimized_order_bound,best_certified_bound,nodewise_over_homogeneous,projected_nodewise_over_homogeneous,seed_count_required,status
D,2,3,comb,0.5,0.5,random_log_uniform,513e0ccfa6c4d3498c80d69ed844cd55bf3028f69252c0c45c1e60f254716117,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,0.17657740465460492,0.11771826976973662,0.032373112485086813,0.0319625499599244,0.032373112485086813,0.0319625499599244,0.06180267992752097,0.032373112485086813,0.032373112485086813,0.18333666500767976,0.2715173271102684,10,COMPLETE_CERTIFICATE_INSTANCE
D,2,3,comb,0.5,0.5,one_dominant,750de8dd8390e9f1749c0737f4aa63258de809514548b6b848d0457ac8a6a707,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,0.1875,0.125,0.06262499999999999,0.0625625,0.06262499999999999,0.0625625,0.06268749999999998,0.06262499999999999,0.06262499999999999,0.3339999999999999,0.5005,10,COMPLETE_CERTIFICATE_INSTANCE
D,2,3,comb,0.5,0.5,two_branches,1b3cfc7e4708030b80bf99caecfff75a3491af3d68480da94bda8f9256585263,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,0.1875,0.125,0.1250625,0.125,0.1250625,0.125,0.1875625,0.1250625,0.1250625,0.6669999999999999,1.0,10,COMPLETE_CERTIFICATE_INSTANCE
D,2,3,comb,0.75,0.0001,uniform,61b1cbdc21991b9a3b48a1dddab80ec78264ef4ff2b97a5c47b1a780290de6f4,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,0.00012656250000000002,8.4375e-05,0.0001265625,8.4375e-05,0.0001265625,8.4375e-05,0.00016875,0.0001265625,0.0001265625,0.9999999999999998,1.0,10,COMPLETE_CERTIFICATE_INSTANCE
D,2,3,comb,0.75,0.0001,root,9efaa7bab98b7bd157ca1ac0224885dae5028a3ef510ced8dff38b68f9ad652e,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,0.00012656250000000002,8.4375e-05,4.2271875e-05,8.437500000000001e-08,4.2271875e-05,8.437500000000001e-08,4.23140625e-05,4.2271875e-05,4.2271875e-05,0.33399999999999996,0.001,10,COMPLETE_CERTIFICATE_INSTANCE
D,2,3,comb,0.75,0.0001,leaves,606962752f24cf56ec302ffe935137496f329d9b35b33e694a0a37444b3ca373,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,0.00012656250000000002,8.4375e-05,4.2271875e-05,4.22296875e-05,4.2271875e-05,4.22296875e-05,8.445937499999999e-05,4.2271875e-05,4.2271875e-05,0.33399999999999996,0.5005000000000001,10,COMPLETE_CERTIFICATE_INSTANCE
D,2,3,comb,0.75,0.0001,deepest_path,a4418c40b7b5e8f82b90d029a4c48ee662998371b20d8da80e8623d28eab0097,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,0.00012656250000000002,8.4375e-05,0.0001265625,8.4375e-05,0.0001265625,8.4375e-05,0.00016875,0.0001265625,0.0001265625,0.9999999999999998,1.0,10,COMPLETE_CERTIFICATE_INSTANCE
D,2,3,comb,0.75,0.0001,alternating,a4105eca3dfd29adf012081d215632b7dba954a0531918890d143358a14e5cbc,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,0.00012656250000000002,8.4375e-05,6.359765625000001e-05,3.195703125e-05,6.359765625000001e-05,3.195703125e-05,9.523828125e-05,6.359765625000001e-05,6.359765625000001e-05,0.5025000000000001,0.37875000000000003,10,COMPLETE_CERTIFICATE_INSTANCE
D,2,3,comb,0.75,0.0001,random_log_uniform,7524099f1ef55d0ea1747a0e9be27e4a4b30fb2b033b27b94ff32ca627223a1c,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,0.00048075358646446005,0.00032050239097630674,3.242635731687805e-05,3.0256318654117683e-05,3.242635731687805e-05,3.0256318654117683e-05,3.2635576816966975e-05,3.242635731687805e-05,3.242635731687805e-05,0.06744901802053468,0.09440278608203703,10,COMPLETE_CERTIFICATE_INSTANCE
D,2,3,comb,0.75,0.0001,one_dominant,8439836596658666fc08741238f632433025fada4e0ef107850c1f5f2dfd424d,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,0.00012656250000000002,8.4375e-05,4.2271875e-05,4.22296875e-05,4.2271875e-05,4.22296875e-05,4.23140625e-05,4.2271875e-05,4.2271875e-05,0.33399999999999996,0.5005000000000001,10,COMPLETE_CERTIFICATE_INSTANCE
