block,dimension,cp_rank_fraction,cp_rank,internal_nodes,topology,eta,scientific_instance_hash,controlled_cp_components,tensor_reconstruction_error,operator_output_error_upper,recursive_representation_budget,closure_budget,interaction_budget,total_theorem_budget,observed_total_error,bound_tightness,seed_count_required,status
H,16,0.1,2,4,comb,0.001,6a05850b58a2a7fbd49a3f775911fc562ee486ac0a545fdb5e9515431e4d52c7,16,0.9354143466934853,0.9354143466934853,27.126008027055533,0.003,0.018749191780311765,27.147757218835846,,,10,COMPLETE_ANALYTIC_CP_BUDGET
H,16,0.1,2,4,comb,0.01,50a2d014a99c16ea043d2b61c5743c85b65f6e996ec4924fed2151fc37d831d5,16,0.9354143466934853,0.9354143466934853,27.126008027055533,0.03,0.18749191780311764,27.343499944858653,,,10,COMPLETE_ANALYTIC_CP_BUDGET
H,16,0.1,2,4,comb,0.1,d4e13a5b5a7aabe697a52b956fdf28e5b7b7f29fa0864deedc74a14a1b8e696a,16,0.9354143466934853,0.9354143466934853,27.126008027055533,0.30000000000000004,1.8749191780311767,29.300927205086712,,,10,COMPLETE_ANALYTIC_CP_BUDGET
H,16,0.1,2,4,balanced,0.001,a5eb9eec7f50cd03ee7ccaef84639a08d93a837b21a28044819b35c86971b4bb,16,0.9354143466934853,0.9354143466934853,27.126008027055533,0.003,0.018749191780311765,27.147757218835846,,,10,COMPLETE_ANALYTIC_CP_BUDGET
H,16,0.1,2,4,balanced,0.01,38e2b6453c264e809253114c6e2ce307442a14bf7134d0dae8bba9dc1be4de11,16,0.9354143466934853,0.9354143466934853,27.126008027055533,0.03,0.18749191780311764,27.343499944858653,,,10,COMPLETE_ANALYTIC_CP_BUDGET
H,16,0.1,2,4,balanced,0.1,0d11ecd64f6f3b50998932b6545d05a396d5b8fb0ac240f247d1409da7f2f3e0,16,0.9354143466934853,0.9354143466934853,27.126008027055533,0.30000000000000004,1.8749191780311767,29.300927205086712,,,10,COMPLETE_ANALYTIC_CP_BUDGET
H,16,0.1,2,8,comb,0.001,7ab94d1aea8e6168a9a39a23187f0b40dde8e37df43a8f5d6c28ad5f606ced28,16,0.9354143466934853,0.9354143466934853,761.2226562850786,0.007,0.7050585937171864,761.9347148787958,,,10,COMPLETE_ANALYTIC_CP_BUDGET
H,16,0.1,2,8,comb,0.01,df7e1c57b91bd21cfef6016a03fb8c71a374c25ed94c5cd15a8992e5ee8804fe,16,0.9354143466934853,0.9354143466934853,761.2226562850786,0.07,7.050585937171864,768.3432422222505,,,10,COMPLETE_ANALYTIC_CP_BUDGET
H,16,0.1,2,8,comb,0.1,5e846dbc5e568c95818dac8d4175c794ad6e5864c8e162f6cb05578fdb849a68,16,0.9354143466934853,0.9354143466934853,761.2226562850786,0.7000000000000001,70.50585937171864,832.4285156567973,,,10,COMPLETE_ANALYTIC_CP_BUDGET
H,16,0.1,2,8,balanced,0.001,0f4f533cf78857ad2d00ab0cfd7c7dde9b27d85fe2cf2b4db7547897c870a10c,16,0.9354143466934853,0.9354143466934853,761.2226562850786,0.007,0.7050585937171864,761.9347148787958,,,10,COMPLETE_ANALYTIC_CP_BUDGET
