tree_hash,internal_nodes,topology,node_index,main_effect,shapley_projected,full_mask_projected_error
cbbdb5f1f5dee2b1c8dae3d22a8b7f36a4a67fd046f00887dfbf359c2e232ef4,6,balanced,2,0.0,0.009784541708385124,0.038906999999999914
cbbdb5f1f5dee2b1c8dae3d22a8b7f36a4a67fd046f00887dfbf359c2e232ef4,6,balanced,3,0.0,-6.578391928606097e-05,0.038906999999999914
cbbdb5f1f5dee2b1c8dae3d22a8b7f36a4a67fd046f00887dfbf359c2e232ef4,6,balanced,4,0.0,0.004809579397065301,0.038906999999999914
cbbdb5f1f5dee2b1c8dae3d22a8b7f36a4a67fd046f00887dfbf359c2e232ef4,6,balanced,5,0.0,0.004809579397065301,0.038906999999999914
bc16e670610c02f923048cdb4f36e6d6e347f0acd73ea07b29f99ec6501639da,6,two_branch,0,0.0,0.004892220937945213,0.019503000000000048
bc16e670610c02f923048cdb4f36e6d6e347f0acd73ea07b29f99ec6501639da,6,two_branch,1,0.0,0.004892220937945213,0.019503000000000048
bc16e670610c02f923048cdb4f36e6d6e347f0acd73ea07b29f99ec6501639da,6,two_branch,2,0.0,-3.294187589040209e-05,0.019503000000000048
bc16e670610c02f923048cdb4f36e6d6e347f0acd73ea07b29f99ec6501639da,6,two_branch,3,0.0,0.004892220937945213,0.019503000000000048
bc16e670610c02f923048cdb4f36e6d6e347f0acd73ea07b29f99ec6501639da,6,two_branch,4,0.0,0.004892220937945213,0.019503000000000048
bc16e670610c02f923048cdb4f36e6d6e347f0acd73ea07b29f99ec6501639da,6,two_branch,5,0.0,-3.294187589040209e-05,0.019503000000000048
450341b92fc9ae28541c07ed1a198239a4d8b01f1b2720960d86e07709df377b,7,comb,0,0.0,0.028764091819315253,0.2013486427352067
450341b92fc9ae28541c07ed1a198239a4d8b01f1b2720960d86e07709df377b,7,comb,1,0.0,0.028764091819315253,0.2013486427352067
450341b92fc9ae28541c07ed1a198239a4d8b01f1b2720960d86e07709df377b,7,comb,2,0.0,0.028764091819315253,0.2013486427352067
450341b92fc9ae28541c07ed1a198239a4d8b01f1b2720960d86e07709df377b,7,comb,3,0.0,0.028764091819315253,0.2013486427352067
450341b92fc9ae28541c07ed1a198239a4d8b01f1b2720960d86e07709df377b,7,comb,4,0.0,0.028764091819315253,0.2013486427352067
450341b92fc9ae28541c07ed1a198239a4d8b01f1b2720960d86e07709df377b,7,comb,5,0.0,0.028764091819315253,0.2013486427352067
