block,type_count,arity_kind,internal_nodes,dimension_profile,rank_profile,control,scientific_instance_hash,tree_hash,validation,invalid_rejected_before_evaluation,seed_count_required,status
E,2,mixed,10,"(3, 10)","(1, 4)",valid,01c8ffbe4d3059668dcff06bbe4c934dcfbd5591d0359b4c0560d19671e87b8d,49dbe4286da8d4883e66fbfc9bf32de69948c85252bff0a60767849fa748ea0c,ACCEPTED,False,10,COMPLETE_TYPE_VALIDATION
E,2,mixed,10,"(3, 10)","(1, 4)",invalid_edge,0c6c80494abff2e3c9eef02051ae921278a9102436b20bf3f930bdf549609aea,e3393741a363740b78a751ebe81353f1266843a9fbe34e316f33e426b9ee38c2,REJECTED,True,0,VERIFIED_NEGATIVE_CONTROL
E,2,mixed,16,"(3, 10)","(1, 4)",valid,a526baca4b0b7d9c01b50726cf6e101d5a7c8c53bb3f99606ab2d7350a6d4326,d21bd1dabc2cefe05edc3a26c9f3039075a252718027fda391b6c4a3627a28cb,ACCEPTED,False,10,COMPLETE_TYPE_VALIDATION
E,2,mixed,16,"(3, 10)","(1, 4)",invalid_edge,354d4f04bcbfaf1b1f56124fb9a694370156bb7e6cc47833a4556f9d5fa8858e,e69a89697a6aef08adac2925e8d0e975ed1c5c934aa40e598c867706d88d8479,REJECTED,True,0,VERIFIED_NEGATIVE_CONTROL
E,3,binary,3,"(2, 9, 16)","(1, 4, 7)",valid,0e678b0583edf4adff0af7acfea42128299ba893ebd87fec0e52febdb367d948,f30ff45d7c29eee4458bf36d76115439f5586ecd70823818246f8fcaf1749fbc,ACCEPTED,False,10,COMPLETE_TYPE_VALIDATION
E,3,binary,3,"(2, 9, 16)","(1, 4, 7)",invalid_edge,5aa3cc910f829938c47452b72ef29ef1307395e32234666de4935431f8df7f42,bd3d775c42b0e41ff01fd68e6ec82a7dafbe1972c715a8f7e6b2e933459a27f9,REJECTED,True,0,VERIFIED_NEGATIVE_CONTROL
E,3,binary,6,"(2, 9, 16)","(1, 4, 7)",valid,4b31dbd4177489bf4607dc983bca61bfbfe1feb5464f66337d6ddceb1f76f1d3,338ca997d7f0fcf747542f174943f6ff569571cb021c5776ede0a476f1d6bad9,ACCEPTED,False,10,COMPLETE_TYPE_VALIDATION
E,3,binary,6,"(2, 9, 16)","(1, 4, 7)",invalid_edge,e5ddff21108ab8c7ff419a52c151d550be845dc3396a1857d943bc120f5093e9,d367e79877687e82279ec609ca22d42c1f74c2aa2c3e501f26d4aacdb7638977,REJECTED,True,0,VERIFIED_NEGATIVE_CONTROL
E,3,binary,10,"(3, 10, 17)","(1, 4, 7)",valid,fc754c8c968c66efc6fff5f00d35010854f23f107b5344614040762020452114,d09b793868b4a122c182206e232896296fe52a1230163db8e69d65d3d1b3c0ec,ACCEPTED,False,10,COMPLETE_TYPE_VALIDATION
E,3,binary,10,"(3, 10, 17)","(1, 4, 7)",invalid_edge,0ebaf64338b960992cac33866b104049e7c6da136d25d3b413249ec4833febc7,2db4a702a5f1f4efdbe6937f3c74baccd7f691faed07dc5e7e3ee5c5f3d5d934,REJECTED,True,0,VERIFIED_NEGATIVE_CONTROL
E,3,binary,16,"(3, 10, 17)","(1, 4, 7)",valid,82db0f10b9e12327efddc4b74f55fb645ea2495d2f7f4e409a4d4a55b4914c51,0bea97e598b513ab83ef21c2dc11bde4da7922176b165bccabc12d26a902e44c,ACCEPTED,False,10,COMPLETE_TYPE_VALIDATION
E,3,binary,16,"(3, 10, 17)","(1, 4, 7)",invalid_edge,36f3d619dcb53035a89d253690cab1ae9f20884f1cf83d87be368718bfde4ecf,fd30e6b30f592c30904dc7457708eed61f5fbe1df8d0c1c80a250ba37e5d6197,REJECTED,True,0,VERIFIED_NEGATIVE_CONTROL
E,3,ternary,3,"(2, 9, 16)","(1, 4, 7)",valid,91cb51b76f072c08718607753a52801ec1f6ae298e7a43e62635ba6731c6ab1a,a4d3fedf164d9ddc6d1b4d0b26af6a107bc6c9f33dba99c2f138f682f6768ce9,ACCEPTED,False,10,COMPLETE_TYPE_VALIDATION
E,3,ternary,3,"(2, 9, 16)","(1, 4, 7)",invalid_edge,e06938e4e482e1f53162c7002caaa8db9060b004100feca01eaee458c0071c82,c0cfb95b533b385dc8efcf6f437904eb7c84ce7cc2d7687e2771f022d1c04a07,REJECTED,True,0,VERIFIED_NEGATIVE_CONTROL
E,3,ternary,6,"(2, 9, 16)","(1, 4, 7)",valid,e52516d32ee9be25f23d896a51d16a6553dd2d7935f24401cc6da5717aa48847,0d15de5b9129ed84a101173981fc9198e0527d73a91f170c592606714c772d36,ACCEPTED,False,10,COMPLETE_TYPE_VALIDATION
E,3,ternary,6,"(2, 9, 16)","(1, 4, 7)",invalid_edge,6561a024256b143fdd310fe58ee48af0e01c5967d0afb1123c3c5814c08afa5b,207f15d094b14a48e4337fa6fb4162f0be742d91741878d3d8589c99fc80dfd3,REJECTED,True,0,VERIFIED_NEGATIVE_CONTROL
E,3,ternary,10,"(3, 10, 17)","(1, 4, 7)",valid,8402398f1a6935b70f8efe1202689ebd24612d69b8d7648b24f31199ecbad624,3cab7fbdeeb382ee9f5563dd7b9f65f474b72cd2b59f763ccb1e2917fa922418,ACCEPTED,False,10,COMPLETE_TYPE_VALIDATION
