block,arity,internal_nodes,topology,eta,dimension,projector_rank,scientific_instance_hash,tree_hash,depth,imbalance,strahler_number,path_length_sum,ambient_lower,ambient_upper,projected_lower,projected_upper,normal_lower,normal_upper,ambient_relative_gap,projected_relative_gap,optimizer_seeds_required,restarts_per_seed_required,optimizer_trajectories_required,optimizer_trajectories_executed_full_core,lower_method,optimizer_status,precision,device,status
B,2,2,right_comb,0.1,2,1,ea3aee1252698b7abed75bff4a36f938477195b60e8f12999eaa554d5c061fbe,fd4e3139d738df0eb8ac86cdcfdf6ae24c529dbe1852d7110ab463230790f9d1,2,1,2,5,0.9949874371066199,2.0,0.0,1.0,0.9949874371066199,2.0,0.5025062814466901,1.0,20,8,160,0,certified explicit gated-rotation construction,EXTENDED_PENDING_RESOURCE_GATE,interval160,cpu,COMPLETE_BASE_INSTANCE
B,2,2,right_comb,0.25,2,1,9d019f3b9a89ea84dc944a83ede57ad8273026cebca805ea8103c52ff56aee1a,fd4e3139d738df0eb8ac86cdcfdf6ae24c529dbe1852d7110ab463230790f9d1,2,1,2,5,0.9682458365518541,2.0,0.0,1.0,0.9682458365518541,2.0,0.515877081724073,1.0,20,8,160,0,certified explicit gated-rotation construction,EXTENDED_PENDING_RESOURCE_GATE,interval160,cpu,COMPLETE_BASE_INSTANCE
B,2,2,right_comb,0.5,2,1,413cb22c2603004babd16493b6ced45fe3ddcd79f0b71911ad4d7822be485eff,fd4e3139d738df0eb8ac86cdcfdf6ae24c529dbe1852d7110ab463230790f9d1,2,1,2,5,0.8660254037844386,2.0,0.0,1.0,0.8660254037844386,2.0,0.5669872981077807,1.0,20,8,160,0,certified explicit gated-rotation construction,EXTENDED_PENDING_RESOURCE_GATE,interval160,cpu,COMPLETE_BASE_INSTANCE
B,2,2,right_comb,1.0,2,1,300aa556c39468cc2bbf59ff620893c0ac842fb871bf786d6bd1cfa659b34d02,fd4e3139d738df0eb8ac86cdcfdf6ae24c529dbe1852d7110ab463230790f9d1,2,1,2,5,0.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,20,8,160,0,certified explicit gated-rotation construction,EXTENDED_PENDING_RESOURCE_GATE,interval160,cpu,COMPLETE_BASE_INSTANCE
B,2,2,maximally_balanced,1e-08,2,1,c0609a1b86532069fd3bfca4948ba32838ec8c0faa6dbf35004fc2bb3e3bd30a,771118e22e38c17b89fe5c2b9baa6acbc7633d8cd36ec18b1b27af704494ecb8,2,1,2,5,1.9999999999999998,2.0,9.999999999999999e-09,1.0,1.9999999999999998,2.0,1.1102230246251565e-16,0.99999999,20,8,160,0,certified explicit gated-rotation construction,EXTENDED_PENDING_RESOURCE_GATE,interval160,cpu,COMPLETE_BASE_INSTANCE
B,2,2,maximally_balanced,1e-07,2,1,6a4d9d16d9437d133fd097fe5a0145c8a72b7d6d21babff464fc1ac3c4455a3d,771118e22e38c17b89fe5c2b9baa6acbc7633d8cd36ec18b1b27af704494ecb8,2,1,2,5,1.9999999999999925,2.0,1e-07,1.0,1.9999999999999898,2.0,3.774758283725532e-15,0.9999999,20,8,160,0,certified explicit gated-rotation construction,EXTENDED_PENDING_RESOURCE_GATE,interval160,cpu,COMPLETE_BASE_INSTANCE
B,2,2,maximally_balanced,1e-06,2,1,ab6b296219b4184a27f63e89299a155a98360ef178263cc621885382bf5d78af,771118e22e38c17b89fe5c2b9baa6acbc7633d8cd36ec18b1b27af704494ecb8,2,1,2,5,1.99999999999925,2.0,1e-06,1.0,1.999999999999,2.0,3.750333377183779e-13,0.999999,20,8,160,0,certified explicit gated-rotation construction,EXTENDED_PENDING_RESOURCE_GATE,interval160,cpu,COMPLETE_BASE_INSTANCE
B,2,2,maximally_balanced,1e-05,2,1,d39c8f338681b44e10288986c36ff4a7d6c662da0fb9702a1deca6c686066216,771118e22e38c17b89fe5c2b9baa6acbc7633d8cd36ec18b1b27af704494ecb8,2,1,2,5,1.999999999925,2.0,9.999999999999999e-06,1.0,1.9999999999,2.0,3.750000310276391e-11,0.99999,20,8,160,0,certified explicit gated-rotation construction,EXTENDED_PENDING_RESOURCE_GATE,interval160,cpu,COMPLETE_BASE_INSTANCE
B,2,2,maximally_balanced,0.0001,2,1,35851abd358d5136b1e61e98df24879c043d3fa7d17416775302bf2f6df2152a,771118e22e38c17b89fe5c2b9baa6acbc7633d8cd36ec18b1b27af704494ecb8,2,1,2,5,1.9999999924999998,2.0,9.999999999999999e-05,1.0,1.9999999899999998,2.0,3.750000088231786e-09,0.9999,20,8,160,0,certified explicit gated-rotation construction,EXTENDED_PENDING_RESOURCE_GATE,interval160,cpu,COMPLETE_BASE_INSTANCE
B,2,2,maximally_balanced,0.001,2,1,8b55095433af35e8b7c22e4320fab1b510e197ae610ed3fa1f6848cf40c8181f,771118e22e38c17b89fe5c2b9baa6acbc7633d8cd36ec18b1b27af704494ecb8,2,1,2,5,1.9999992499998593,2.0,0.0009999999999999998,1.0,1.9999989999997498,2.0,3.750000703295342e-07,0.999,20,8,160,0,certified explicit gated-rotation construction,EXTENDED_PENDING_RESOURCE_GATE,interval160,cpu,COMPLETE_BASE_INSTANCE
