tree_hash,internal_nodes,topology,mask,enabled_nodes,projected_error,ambient_error
61e885a698d4cd50dd217a02e33c2fdde9608a5a64ee45893b7046f64a364ebf,4,balanced,5,2,0.010000000000000009,0.19924858845171275
61e885a698d4cd50dd217a02e33c2fdde9608a5a64ee45893b7046f64a364ebf,4,balanced,6,2,0.010000000000000009,0.19924858845171275
61e885a698d4cd50dd217a02e33c2fdde9608a5a64ee45893b7046f64a364ebf,4,balanced,7,3,0.02984962311319861,0.29750126050153136
61e885a698d4cd50dd217a02e33c2fdde9608a5a64ee45893b7046f64a364ebf,4,balanced,8,1,0.0,0.0
61e885a698d4cd50dd217a02e33c2fdde9608a5a64ee45893b7046f64a364ebf,4,balanced,9,2,0.0,0.099498743710662
61e885a698d4cd50dd217a02e33c2fdde9608a5a64ee45893b7046f64a364ebf,4,balanced,10,2,0.0,0.099498743710662
61e885a698d4cd50dd217a02e33c2fdde9608a5a64ee45893b7046f64a364ebf,4,balanced,11,3,0.009949874371066203,0.19824984237068136
61e885a698d4cd50dd217a02e33c2fdde9608a5a64ee45893b7046f64a364ebf,4,balanced,12,2,0.0,0.099498743710662
61e885a698d4cd50dd217a02e33c2fdde9608a5a64ee45893b7046f64a364ebf,4,balanced,13,3,0.009949874371066203,0.19824984237068136
61e885a698d4cd50dd217a02e33c2fdde9608a5a64ee45893b7046f64a364ebf,4,balanced,14,3,0.009949874371066203,0.19824984237068136
61e885a698d4cd50dd217a02e33c2fdde9608a5a64ee45893b7046f64a364ebf,4,balanced,15,4,0.02969999999999995,0.2960100167224076
c49bc82e43739a6b5ffc5afb296dd7afc32726f99c2bda873e6dccebbd75ee5d,4,two_branch,0,0,0.0,0.0
c49bc82e43739a6b5ffc5afb296dd7afc32726f99c2bda873e6dccebbd75ee5d,4,two_branch,1,1,0.0,0.1
c49bc82e43739a6b5ffc5afb296dd7afc32726f99c2bda873e6dccebbd75ee5d,4,two_branch,2,1,0.0,0.1
c49bc82e43739a6b5ffc5afb296dd7afc32726f99c2bda873e6dccebbd75ee5d,4,two_branch,3,2,0.010000000000000009,0.19924858845171275
c49bc82e43739a6b5ffc5afb296dd7afc32726f99c2bda873e6dccebbd75ee5d,4,two_branch,4,1,0.0,0.0
c49bc82e43739a6b5ffc5afb296dd7afc32726f99c2bda873e6dccebbd75ee5d,4,two_branch,5,2,0.0,0.099498743710662
c49bc82e43739a6b5ffc5afb296dd7afc32726f99c2bda873e6dccebbd75ee5d,4,two_branch,6,2,0.0,0.099498743710662
c49bc82e43739a6b5ffc5afb296dd7afc32726f99c2bda873e6dccebbd75ee5d,4,two_branch,7,3,0.009949874371066203,0.19824984237068136
c49bc82e43739a6b5ffc5afb296dd7afc32726f99c2bda873e6dccebbd75ee5d,4,two_branch,8,1,0.0,0.0
c49bc82e43739a6b5ffc5afb296dd7afc32726f99c2bda873e6dccebbd75ee5d,4,two_branch,9,2,0.0,0.099498743710662
