block,arity,internal_nodes,shape_index,tree_hash,dimension,projector_rank,field,eta,error_type,scientific_instance_hash,depth,strahler_number,path_length_sum,certified_lower_bound,construction_value_upper,certified_upper_bound,absolute_gap,relative_gap,status,lower_method,upper_theorem,global_optimum_certified,precision,device
A,2,1,0,8921a91214a4c8f76fa78224976957b0bfb8b3feea3a0d83fbc8f83908084067,3,1,real,0.1,ambient,c46073be1841c0680abface3026c3eb037b62c0ba3956e9ec407ac84cb841134,1,2,2,0.9999999999999999,1.0,1.0,1.1102230246251565e-16,1.1102230246251565e-16,NEAR_OPTIMAL_WITH_CERTIFIED_GAP,mpmath interval recursion for the explicit gated-rotation tree,THM_V3_HOMOGENEOUS_AMBIENT_K,False,interval160,cpu
A,2,1,0,8921a91214a4c8f76fa78224976957b0bfb8b3feea3a0d83fbc8f83908084067,3,1,real,0.1,projected,06cb03a9f5940851e72816ecc3894c62e06e1f452e533171eb15de55d9b5632d,1,2,2,0.0,1.3684555315672042e-47,0.0,0.0,0.0,EXACT_OPTIMAL_CONSTANT,mpmath interval recursion for the explicit gated-rotation tree,THM_V3_PROJECTED_ROOT_K_MINUS_ONE,True,interval160,cpu
A,2,1,0,8921a91214a4c8f76fa78224976957b0bfb8b3feea3a0d83fbc8f83908084067,3,1,real,0.1,normal,429c4e6367ffcaf2c6d848ef8be03cb0cc76aa0d8da367d6e81447bebb5075bf,1,2,2,0.9999999999999999,1.0,1.0,1.1102230246251565e-16,1.1102230246251565e-16,NEAR_OPTIMAL_WITH_CERTIFIED_GAP,mpmath interval recursion for the explicit gated-rotation tree,THM_V3_HOMOGENEOUS_AMBIENT_K,False,interval160,cpu
A,2,1,0,8921a91214a4c8f76fa78224976957b0bfb8b3feea3a0d83fbc8f83908084067,3,2,real,0.1,ambient,5838ff06a9d5fef1abdd037f82041500b0a5964c2ad364bb961b2bdae47b26a4,1,2,2,0.9999999999999999,1.0,1.0,1.1102230246251565e-16,1.1102230246251565e-16,NEAR_OPTIMAL_WITH_CERTIFIED_GAP,mpmath interval recursion for the explicit gated-rotation tree,THM_V3_HOMOGENEOUS_AMBIENT_K,False,interval160,cpu
A,2,1,0,8921a91214a4c8f76fa78224976957b0bfb8b3feea3a0d83fbc8f83908084067,3,2,real,0.1,projected,9749b35264c9f210d0955fe13a33131ebd206baa2661b8c5d8153427a742c7c6,1,2,2,0.0,1.3684555315672042e-47,0.0,0.0,0.0,EXACT_OPTIMAL_CONSTANT,mpmath interval recursion for the explicit gated-rotation tree,THM_V3_PROJECTED_ROOT_K_MINUS_ONE,True,interval160,cpu
A,2,1,0,8921a91214a4c8f76fa78224976957b0bfb8b3feea3a0d83fbc8f83908084067,3,2,real,0.1,normal,eb1acbce791b86de81dc5abe508393bb51b9febf70deacbff6dab2f0cf61ecb4,1,2,2,0.9999999999999999,1.0,1.0,1.1102230246251565e-16,1.1102230246251565e-16,NEAR_OPTIMAL_WITH_CERTIFIED_GAP,mpmath interval recursion for the explicit gated-rotation tree,THM_V3_HOMOGENEOUS_AMBIENT_K,False,interval160,cpu
A,2,1,0,8921a91214a4c8f76fa78224976957b0bfb8b3feea3a0d83fbc8f83908084067,2,1,real,0.5,ambient,1edb6b3deb224104a443fbab66ddc8365c4935f0e727dfb694db84ac0a44f815,1,2,2,1.0,1.0,1.0,0.0,0.0,NEAR_OPTIMAL_WITH_CERTIFIED_GAP,mpmath interval recursion for the explicit gated-rotation tree,THM_V3_HOMOGENEOUS_AMBIENT_K,True,interval160,cpu
A,2,1,0,8921a91214a4c8f76fa78224976957b0bfb8b3feea3a0d83fbc8f83908084067,2,1,real,0.5,projected,8a739e4afdbf014429880fe5f8b916e014d7ee90a692c5b4257be4da523d21b8,1,2,2,0.0,1.3684555315672042e-48,0.0,0.0,0.0,EXACT_OPTIMAL_CONSTANT,mpmath interval recursion for the explicit gated-rotation tree,THM_V3_PROJECTED_ROOT_K_MINUS_ONE,True,interval160,cpu
A,2,1,0,8921a91214a4c8f76fa78224976957b0bfb8b3feea3a0d83fbc8f83908084067,2,1,real,0.5,normal,5aa207e39b14fc386514378615125b1393270f47eca86d41a1e046141722cf16,1,2,2,1.0,1.0,1.0,0.0,0.0,NEAR_OPTIMAL_WITH_CERTIFIED_GAP,mpmath interval recursion for the explicit gated-rotation tree,THM_V3_HOMOGENEOUS_AMBIENT_K,True,interval160,cpu
A,2,1,0,8921a91214a4c8f76fa78224976957b0bfb8b3feea3a0d83fbc8f83908084067,3,1,real,0.5,ambient,178baa95d87befbc40aaf96a11bbbe7994e52755befe9fdffe4e881d9423dda6,1,2,2,1.0,1.0,1.0,0.0,0.0,NEAR_OPTIMAL_WITH_CERTIFIED_GAP,mpmath interval recursion for the explicit gated-rotation tree,THM_V3_HOMOGENEOUS_AMBIENT_K,True,interval160,cpu
A,2,1,0,8921a91214a4c8f76fa78224976957b0bfb8b3feea3a0d83fbc8f83908084067,3,1,real,0.5,projected,6c6510bdb7aef1fd0bc85fd28631b54916c462d395a194c57fa91af3167f21d8,1,2,2,0.0,1.3684555315672042e-48,0.0,0.0,0.0,EXACT_OPTIMAL_CONSTANT,mpmath interval recursion for the explicit gated-rotation tree,THM_V3_PROJECTED_ROOT_K_MINUS_ONE,True,interval160,cpu
A,2,1,0,8921a91214a4c8f76fa78224976957b0bfb8b3feea3a0d83fbc8f83908084067,3,1,real,0.5,normal,ac0ec05286e09d527b08277b01c6fc1f20b04cc65173af992d98212f40a0e82c,1,2,2,1.0,1.0,1.0,0.0,0.0,NEAR_OPTIMAL_WITH_CERTIFIED_GAP,mpmath interval recursion for the explicit gated-rotation tree,THM_V3_HOMOGENEOUS_AMBIENT_K,True,interval160,cpu
A,2,1,0,8921a91214a4c8f76fa78224976957b0bfb8b3feea3a0d83fbc8f83908084067,3,2,real,0.5,ambient,4b195c50457c0cfec8c7366e843a58a30be205173643a110f9d3ad9b81102af8,1,2,2,1.0,1.0,1.0,0.0,0.0,NEAR_OPTIMAL_WITH_CERTIFIED_GAP,mpmath interval recursion for the explicit gated-rotation tree,THM_V3_HOMOGENEOUS_AMBIENT_K,True,interval160,cpu
A,2,1,0,8921a91214a4c8f76fa78224976957b0bfb8b3feea3a0d83fbc8f83908084067,3,2,real,0.5,projected,61e86ed1ff03da169725b9f4ac5bb5dd72a3ef19d85e3d45fee46239aeee9c38,1,2,2,0.0,1.3684555315672042e-48,0.0,0.0,0.0,EXACT_OPTIMAL_CONSTANT,mpmath interval recursion for the explicit gated-rotation tree,THM_V3_PROJECTED_ROOT_K_MINUS_ONE,True,interval160,cpu
A,2,1,0,8921a91214a4c8f76fa78224976957b0bfb8b3feea3a0d83fbc8f83908084067,3,2,real,0.5,normal,3b9f3efe7139bfb250917c0184439b7423de944f494cdaa67c0c701c19f87e25,1,2,2,1.0,1.0,1.0,0.0,0.0,NEAR_OPTIMAL_WITH_CERTIFIED_GAP,mpmath interval recursion for the explicit gated-rotation tree,THM_V3_HOMOGENEOUS_AMBIENT_K,True,interval160,cpu
A,2,1,0,8921a91214a4c8f76fa78224976957b0bfb8b3feea3a0d83fbc8f83908084067,2,1,real,1.0,ambient,6070a474052326ab8c5e00d1b967349e0218b76a806016f1b185998bf9582325,1,2,2,1.0,1.0,1.0,0.0,0.0,NEAR_OPTIMAL_WITH_CERTIFIED_GAP,mpmath interval recursion for the explicit gated-rotation tree,THM_V3_HOMOGENEOUS_AMBIENT_K,True,interval160,cpu
A,2,1,0,8921a91214a4c8f76fa78224976957b0bfb8b3feea3a0d83fbc8f83908084067,2,1,real,1.0,projected,83706cf4673e55926ed56c0227c61c97bb4868b0f32974f4b4743c95be99ebfb,1,2,2,0.0,0.0,0.0,0.0,0.0,EXACT_OPTIMAL_CONSTANT,mpmath interval recursion for the explicit gated-rotation tree,THM_V3_PROJECTED_ROOT_K_MINUS_ONE,True,interval160,cpu
A,2,1,0,8921a91214a4c8f76fa78224976957b0bfb8b3feea3a0d83fbc8f83908084067,2,1,real,1.0,normal,d8a1bb4fffa288b33b48b6acb6b95ad36eb51ccead34e5ca34211520f09a39ee,1,2,2,1.0,1.0,1.0,0.0,0.0,NEAR_OPTIMAL_WITH_CERTIFIED_GAP,mpmath interval recursion for the explicit gated-rotation tree,THM_V3_HOMOGENEOUS_AMBIENT_K,True,interval160,cpu
A,2,1,0,8921a91214a4c8f76fa78224976957b0bfb8b3feea3a0d83fbc8f83908084067,3,1,real,1.0,ambient,332b4856e94a211789e5ea707553c4ead5e1a0a2a6f3601a0e2ec0b8ce9fef97,1,2,2,1.0,1.0,1.0,0.0,0.0,NEAR_OPTIMAL_WITH_CERTIFIED_GAP,mpmath interval recursion for the explicit gated-rotation tree,THM_V3_HOMOGENEOUS_AMBIENT_K,True,interval160,cpu
A,2,1,0,8921a91214a4c8f76fa78224976957b0bfb8b3feea3a0d83fbc8f83908084067,3,1,real,1.0,projected,b12ceae668e4368240518addd0ae14d566f68674a7eb39d16cbcc0595135c90e,1,2,2,0.0,0.0,0.0,0.0,0.0,EXACT_OPTIMAL_CONSTANT,mpmath interval recursion for the explicit gated-rotation tree,THM_V3_PROJECTED_ROOT_K_MINUS_ONE,True,interval160,cpu
A,2,1,0,8921a91214a4c8f76fa78224976957b0bfb8b3feea3a0d83fbc8f83908084067,3,1,real,1.0,normal,8441609d70c8da8b037693698668b112b8474fc124bf7d960a1f68f04ab0e299,1,2,2,1.0,1.0,1.0,0.0,0.0,NEAR_OPTIMAL_WITH_CERTIFIED_GAP,mpmath interval recursion for the explicit gated-rotation tree,THM_V3_HOMOGENEOUS_AMBIENT_K,True,interval160,cpu
A,2,1,0,8921a91214a4c8f76fa78224976957b0bfb8b3feea3a0d83fbc8f83908084067,3,2,real,1.0,ambient,a645f43f2671c13bb1ccc486276cb6e00e4a93161407166597839d62bd4ee443,1,2,2,1.0,1.0,1.0,0.0,0.0,NEAR_OPTIMAL_WITH_CERTIFIED_GAP,mpmath interval recursion for the explicit gated-rotation tree,THM_V3_HOMOGENEOUS_AMBIENT_K,True,interval160,cpu
A,2,1,0,8921a91214a4c8f76fa78224976957b0bfb8b3feea3a0d83fbc8f83908084067,3,2,real,1.0,projected,7e8718fcd5b52286bf0ac81ee4bce0c2ca1c8f352cb44130218e4de85468a097,1,2,2,0.0,0.0,0.0,0.0,0.0,EXACT_OPTIMAL_CONSTANT,mpmath interval recursion for the explicit gated-rotation tree,THM_V3_PROJECTED_ROOT_K_MINUS_ONE,True,interval160,cpu
A,2,1,0,8921a91214a4c8f76fa78224976957b0bfb8b3feea3a0d83fbc8f83908084067,3,2,real,1.0,normal,6815516639c952d974a00727008b17abdfaa6b319855250b3cd2aa2feb3e9252,1,2,2,1.0,1.0,1.0,0.0,0.0,NEAR_OPTIMAL_WITH_CERTIFIED_GAP,mpmath interval recursion for the explicit gated-rotation tree,THM_V3_HOMOGENEOUS_AMBIENT_K,True,interval160,cpu
A,2,2,0,fd4e3139d738df0eb8ac86cdcfdf6ae24c529dbe1852d7110ab463230790f9d1,2,1,real,0.001,ambient,454eecc4fa21b752ee64edafb9abc2db0596d19564266c0a4c1c9e5231499e2e,2,2,5,0.9999994999998749,0.9999994999998749,2.0,1.000000500000125,0.5000002500000625,CERTIFIED_UPPER_BOUND_AND_CERTIFIED_LOWER_BOUND,mpmath interval recursion for the explicit gated-rotation tree,THM_V3_HOMOGENEOUS_AMBIENT_K,False,interval160,cpu
A,2,2,0,fd4e3139d738df0eb8ac86cdcfdf6ae24c529dbe1852d7110ab463230790f9d1,2,1,real,0.001,projected,096479a38bd36be7fbf6eac7963b2f27e2e9e7d44f2f532812602a6a069a775f,2,2,5,0.0,3.4211388289180104e-45,1.0,1.0,1.0,CERTIFIED_UPPER_BOUND_AND_CERTIFIED_LOWER_BOUND,mpmath interval recursion for the explicit gated-rotation tree,THM_V3_PROJECTED_ROOT_K_MINUS_ONE,False,interval160,cpu
A,2,2,0,fd4e3139d738df0eb8ac86cdcfdf6ae24c529dbe1852d7110ab463230790f9d1,2,1,real,0.001,normal,48ab8e020dea22e7a5661d380f37fa6f6fd13b8c400c1d456755c10015f33fde,2,2,5,0.9999994999998749,0.9999994999998749,2.0,1.000000500000125,0.5000002500000625,CERTIFIED_UPPER_BOUND_AND_CERTIFIED_LOWER_BOUND,mpmath interval recursion for the explicit gated-rotation tree,THM_V3_HOMOGENEOUS_AMBIENT_K,False,interval160,cpu
A,2,2,0,fd4e3139d738df0eb8ac86cdcfdf6ae24c529dbe1852d7110ab463230790f9d1,3,1,real,0.001,ambient,227b302c1cce4a651f4cc7fddcd0526e5ba5afd6b9bc09ef032c5c5f243a9a4f,2,2,5,0.9999994999998749,0.9999994999998749,2.0,1.000000500000125,0.5000002500000625,CERTIFIED_UPPER_BOUND_AND_CERTIFIED_LOWER_BOUND,mpmath interval recursion for the explicit gated-rotation tree,THM_V3_HOMOGENEOUS_AMBIENT_K,False,interval160,cpu
