block,arity,internal_nodes,topology,dimension,requested_rank_ratio,projector_rank,eta,scientific_instance_hash,tree_hash,depth,strahler_number,ambient_lower,ambient_upper,projected_lower,projected_upper,dimension_two_embedded_lower_is_valid,larger_dimension_improvement_certified,seed_count_required,seed_evaluations_executed_full_core,optimizer_status,status
C,2,3,comb,4,0.5,2,0.0001,90c11c145180555467d769fb1ad6c0fa69fa7dd5d941cbcbbfe4864d88e11d1e,69cad430544b4cf0e2476864fc7fbfce938c61afa11c78436544e1a90d4d6b9d,3,2,2.9999999749999997,3.0,0.0002999999985,2.0,True,False,10,0,EXTENDED_PENDING_RESOURCE_GATE,COMPLETE_BASE_INSTANCE
C,2,3,comb,4,0.5,2,0.01,b2b0e5543704c860b87894cf450167df64df39e6f01834b3ec0e8a65e44b5726,69cad430544b4cf0e2476864fc7fbfce938c61afa11c78436544e1a90d4d6b9d,3,2,2.999750001250104,3.0,0.029998499962498124,2.0,True,False,10,0,EXTENDED_PENDING_RESOURCE_GATE,COMPLETE_BASE_INSTANCE
C,2,3,comb,4,0.5,2,0.1,45d1ccae4e3e908ea4cb58636b6001ef8fe7cd9f0eb9c172812d07c21c1bc46e,69cad430544b4cf0e2476864fc7fbfce938c61afa11c78436544e1a90d4d6b9d,3,2,2.975012605015313,3.0,0.298496231131986,2.0,True,False,10,0,EXTENDED_PENDING_RESOURCE_GATE,COMPLETE_BASE_INSTANCE
C,2,3,comb,4,0.5,2,0.5,e58f99717bede07e7a9492dafc5dd026a223de8dbf5035c11092136fac984b47,69cad430544b4cf0e2476864fc7fbfce938c61afa11c78436544e1a90d4d6b9d,3,2,2.384848003542364,3.0,1.2990381056766578,2.0,True,False,10,0,EXTENDED_PENDING_RESOURCE_GATE,COMPLETE_BASE_INSTANCE
C,2,3,comb,4,0.75,3,0.0001,094d79ca5f4dead957d7f59a321d41065eb8ff8a398b9423f2307376ad58732e,69cad430544b4cf0e2476864fc7fbfce938c61afa11c78436544e1a90d4d6b9d,3,2,2.9999999749999997,3.0,0.0002999999985,2.0,True,False,10,0,EXTENDED_PENDING_RESOURCE_GATE,COMPLETE_BASE_INSTANCE
C,2,3,comb,4,0.75,3,0.01,1b8394e0375fa037f7e9d69ce39c17dced418d29ed2e14c225d68a80c14a1e05,69cad430544b4cf0e2476864fc7fbfce938c61afa11c78436544e1a90d4d6b9d,3,2,2.999750001250104,3.0,0.029998499962498124,2.0,True,False,10,0,EXTENDED_PENDING_RESOURCE_GATE,COMPLETE_BASE_INSTANCE
C,2,3,comb,4,0.75,3,0.1,c5807945626e2c8a1bce6bced5c47dbe70c356efd7267545265d80812a8cf916,69cad430544b4cf0e2476864fc7fbfce938c61afa11c78436544e1a90d4d6b9d,3,2,2.975012605015313,3.0,0.298496231131986,2.0,True,False,10,0,EXTENDED_PENDING_RESOURCE_GATE,COMPLETE_BASE_INSTANCE
C,2,3,comb,4,0.75,3,0.5,559242d85457c08b38ed9006b26f7ac832eb7eaa0fe6ec060654f903b90ece63,69cad430544b4cf0e2476864fc7fbfce938c61afa11c78436544e1a90d4d6b9d,3,2,2.384848003542364,3.0,1.2990381056766578,2.0,True,False,10,0,EXTENDED_PENDING_RESOURCE_GATE,COMPLETE_BASE_INSTANCE
C,2,3,comb,8,0.125,1,0.0001,7e5da04b2f90a6d680072ddf9e651c095b96f1430d11d6753a3e3909af679a08,69cad430544b4cf0e2476864fc7fbfce938c61afa11c78436544e1a90d4d6b9d,3,2,2.9999999749999997,3.0,0.0002999999985,2.0,True,False,10,0,EXTENDED_PENDING_RESOURCE_GATE,COMPLETE_BASE_INSTANCE
C,2,3,comb,8,0.125,1,0.01,f369136ab1ed2436713af96be11f2f0f9d19452085b27e3e2e24d9349e163594,69cad430544b4cf0e2476864fc7fbfce938c61afa11c78436544e1a90d4d6b9d,3,2,2.999750001250104,3.0,0.029998499962498124,2.0,True,False,10,0,EXTENDED_PENDING_RESOURCE_GATE,COMPLETE_BASE_INSTANCE
