scientific_instance_hash,tree_hash,bound_family,bound,ratio_to_homogeneous
9835a54d45fd6754be7b397fb377591bb1902c38d8281839444f6d226f6826ac,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,path_sum,0.0012525,0.334
9835a54d45fd6754be7b397fb377591bb1902c38d8281839444f6d226f6826ac,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,mixed_mask,0.00125375,0.33433333333333337
9835a54d45fd6754be7b397fb377591bb1902c38d8281839444f6d226f6826ac,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,optimized_order,0.0012525,0.334
3ada47147c006bad4ddaca1887fdc1a680ef54258b2882ad3339a344c1e790a0,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,homogeneous,0.00375,1.0
3ada47147c006bad4ddaca1887fdc1a680ef54258b2882ad3339a344c1e790a0,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,nodewise,0.0012525,0.334
3ada47147c006bad4ddaca1887fdc1a680ef54258b2882ad3339a344c1e790a0,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,path_sum,0.0012525,0.334
3ada47147c006bad4ddaca1887fdc1a680ef54258b2882ad3339a344c1e790a0,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,mixed_mask,0.0025025,0.6673333333333333
3ada47147c006bad4ddaca1887fdc1a680ef54258b2882ad3339a344c1e790a0,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,optimized_order,0.0012525,0.334
d88a1158f9d40f8ade75574d4c09e0790451b87e0f4c77d9b766a55529144336,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,homogeneous,0.00375,1.0
d88a1158f9d40f8ade75574d4c09e0790451b87e0f4c77d9b766a55529144336,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,nodewise,0.00375,1.0
d88a1158f9d40f8ade75574d4c09e0790451b87e0f4c77d9b766a55529144336,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,path_sum,0.00375,1.0
d88a1158f9d40f8ade75574d4c09e0790451b87e0f4c77d9b766a55529144336,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,mixed_mask,0.005,1.3333333333333335
d88a1158f9d40f8ade75574d4c09e0790451b87e0f4c77d9b766a55529144336,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,optimized_order,0.00375,1.0
66f0f5b32787a7decb7c61c318905533e5dfaa5805784805a8eb847e5eb73005,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,homogeneous,0.00375,1.0
66f0f5b32787a7decb7c61c318905533e5dfaa5805784805a8eb847e5eb73005,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,nodewise,0.001884375,0.5025000000000001
66f0f5b32787a7decb7c61c318905533e5dfaa5805784805a8eb847e5eb73005,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,path_sum,0.001884375,0.5025000000000001
66f0f5b32787a7decb7c61c318905533e5dfaa5805784805a8eb847e5eb73005,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,mixed_mask,0.0028218749999999997,0.7525
66f0f5b32787a7decb7c61c318905533e5dfaa5805784805a8eb847e5eb73005,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,optimized_order,0.001884375,0.5025000000000001
