run_path,experiment_id,status,epistemic_status,precision,seed,runtime_seconds,closure_leakage
C:/Documents/metamaths/seion-math-core/artifacts/runs/certification/finite_ternary_v1/20260729T115834Z-a36e269b3c99,finite_ternary_v1,COMPLETE,numerically_verified,float64,42,2.025003499991726,"{""closure_minimizing_empirical"": 0.12640160331109038, ""known_invariant"": 0.0, ""pca"": 0.5835434815366937, ""random"": 0.35031370595792083}"
C:/Documents/metamaths/seion-math-core/artifacts/runs/certification/finite_ternary_v1/20260729T115839Z-a36e269b3c99,finite_ternary_v1,COMPLETE,numerically_verified,float64,42,1.8106841000262648,"{""closure_minimizing_empirical"": 0.12640160331109038, ""known_invariant"": 0.0, ""pca"": 0.5835434815366937, ""random"": 0.35031370595792083}"
C:/Documents/metamaths/seion-math-core/artifacts/runs/certification/finite_ternary_v1/20260729T115848Z-a36e269b3c99,finite_ternary_v1,COMPLETE,numerically_verified,float64,42,1.8776159000117332,"{""closure_minimizing_empirical"": 0.12640160331109038, ""known_invariant"": 0.0, ""pca"": 0.5835434815366937, ""random"": 0.35031370595792083}"
C:/Documents/metamaths/seion-math-core/artifacts/runs/certification/finite_ternary_v1/20260729T115852Z-a36e269b3c99,finite_ternary_v1,COMPLETE,numerically_verified,float64,42,2.0880554000032134,"{""closure_minimizing_empirical"": 0.12640160331109038, ""known_invariant"": 0.0, ""pca"": 0.5835434815366937, ""random"": 0.35031370595792083}"
C:/Documents/metamaths/seion-math-core/artifacts/runs/certification/finite_ternary_v1/20260729T115912Z-a36e269b3c99,finite_ternary_v1,COMPLETE,numerically_verified,float64,42,4.979623699968215,"{""closure_minimizing_empirical"": 0.12640160331109038, ""known_invariant"": 0.0, ""pca"": 0.5835434815366937, ""random"": 0.35031370595792083}"
C:/Documents/metamaths/seion-math-core/artifacts/runs/certification/finite_ternary_v1/20260729T115931Z-a36e269b3c99,finite_ternary_v1,COMPLETE,numerically_verified,float64,42,2.000891799980309,"{""closure_minimizing_empirical"": 0.12640160331109038, ""known_invariant"": 0.0, ""pca"": 0.5835434815366937, ""random"": 0.35031370595792083}"
C:/Documents/metamaths/seion-math-core/artifacts/runs/certification/finite_ternary_v1/20260729T115938Z-a36e269b3c99,finite_ternary_v1,COMPLETE,numerically_verified,float64,42,1.9653166999923997,"{""closure_minimizing_empirical"": 0.12640160331109038, ""known_invariant"": 0.0, ""pca"": 0.5835434815366937, ""random"": 0.35031370595792083}"
C:/Documents/metamaths/seion-math-core/artifacts/runs/certification/finite_ternary_v1/20260729T115943Z-a36e269b3c99,finite_ternary_v1,COMPLETE,numerically_verified,float64,42,1.918509199982509,"{""closure_minimizing_empirical"": 0.12640160331109038, ""known_invariant"": 0.0, ""pca"": 0.5835434815366937, ""random"": 0.35031370595792083}"
C:/Documents/metamaths/seion-math-core/artifacts/runs/certification/finite_ternary_v1/20260729T123900Z-a36e269b3c99,finite_ternary_v1,COMPLETE,numerically_verified,float64,42,4.964848199975677,"{""closure_minimizing_empirical"": 0.12640160331109038, ""known_invariant"": 0.0, ""pca"": 0.5835434815366937, ""random"": 0.35031370595792083}"
C:/Documents/metamaths/seion-math-core/artifacts/runs/certification/finite_ternary_v1/20260729T124551Z-a36e269b3c99,finite_ternary_v1,COMPLETE,numerically_verified,float64,42,5.03742060001241,"{""closure_minimizing_empirical"": 0.12640160331109038, ""known_invariant"": 0.0, ""pca"": 0.5835434815366937, ""random"": 0.35031370595792083}"
C:/Documents/metamaths/seion-math-core/artifacts/runs/certification/finite_ternary_v1/20260729T124613Z-a36e269b3c99,finite_ternary_v1,COMPLETE,numerically_verified,float64,42,2.652975199976936,"{""closure_minimizing_empirical"": 0.12640160331109038, ""known_invariant"": 0.0, ""pca"": 0.5835434815366937, ""random"": 0.35031370595792083}"
C:/Documents/metamaths/seion-math-core/artifacts/runs/certification/finite_ternary_v1/20260729T124620Z-a36e269b3c99,finite_ternary_v1,COMPLETE,numerically_verified,float64,42,2.056473799981177,"{""closure_minimizing_empirical"": 0.12640160331109038, ""known_invariant"": 0.0, ""pca"": 0.5835434815366937, ""random"": 0.35031370595792083}"
C:/Documents/metamaths/seion-math-core/artifacts/runs/certification/finite_ternary_v1/20260729T124626Z-a36e269b3c99,finite_ternary_v1,COMPLETE,numerically_verified,float64,42,1.8465641999500804,"{""closure_minimizing_empirical"": 0.12640160331109038, ""known_invariant"": 0.0, ""pca"": 0.5835434815366937, ""random"": 0.35031370595792083}"
