experiment_id,resolved_config_hash,mathematical_object_hash,input_artifact_hash,seed,precision,backend,device,implementation_version,run_id,status,failure_reason,run_path,method,closure_leakage,principal_angle_radians,projector_rank,runtime_seconds,ram_peak_bytes,vram_peak_bytes,convergence_status,failure_count
V2_PROJECTOR_RECOVERY,613f8991f766b9739dd0c9a6a6bd1f8dd946e947a378e87adf8180ef95273d60,64a78160844f7e3ff4414d5a4e75602658a7935b37b4b75aa6a7f47bf18f98c5,b8814c1a8ce7db4f302a0ed87ec2d0b9ecc6e901cf8f3e1ac596818cc5fea0a6,1,float64,numpy,cpu,research_v2.1,v2_projector_recovery_2eda0472ca7982ea,complete,,artifacts\runs_v2\v2_projector_recovery_2eda0472ca7982ea,spectral,0.0021420667378139547,0.052308076030039716,2,0.005728099960833788,6288,0,complete,0
V2_PROJECTOR_RECOVERY,cffe2ad89f9ec2057f38b14278e78a0c1b46503875a2ab05076d97a5edb7e4fb,64a78160844f7e3ff4414d5a4e75602658a7935b37b4b75aa6a7f47bf18f98c5,b8814c1a8ce7db4f302a0ed87ec2d0b9ecc6e901cf8f3e1ac596818cc5fea0a6,1,float64,numpy,cpu,research_v2.1,v2_projector_recovery_264f4065593f72a5,complete,,artifacts\runs_v2\v2_projector_recovery_264f4065593f72a5,closure_minimizing,0.13813531508396626,1.5465236286538908,2,0.004101800033822656,6288,0,complete,0
V2_PROJECTOR_RECOVERY,73344649f17a5a4848ec6bfd7226aa8597010b61ad1677d33934a0cb3f76b7ab,57575c9bdb02b88e93b8ca4b000cb1af30f73c86a1223ffdff8bbdba5f8ead16,f62a1417630c57002c7fc1f12165789d7c4cb2834466b3d6e8611d452bbf18c3,2,float64,numpy,cpu,research_v2.1,v2_projector_recovery_b759c37b116ffad9,complete,,artifacts\runs_v2\v2_projector_recovery_b759c37b116ffad9,known_invariant,0.026913724788370966,0.0,2,0.004194099979940802,6288,0,complete,0
V2_PROJECTOR_RECOVERY,ad14ad52351d9c9bc0b14266150e90baaf87a8d4e584e1a7c1927e4d942493f2,57575c9bdb02b88e93b8ca4b000cb1af30f73c86a1223ffdff8bbdba5f8ead16,f62a1417630c57002c7fc1f12165789d7c4cb2834466b3d6e8611d452bbf18c3,2,float64,numpy,cpu,research_v2.1,v2_projector_recovery_3964dd1ce2852a1a,complete,,artifacts\runs_v2\v2_projector_recovery_3964dd1ce2852a1a,random,0.7991109790543446,1.4627324027818227,2,0.004183099954389036,6288,0,complete,0
V2_PROJECTOR_RECOVERY,93bbf08da1ad000ab8723e286451d5250bbb64e064e37de9b75fd1fd5c061d62,57575c9bdb02b88e93b8ca4b000cb1af30f73c86a1223ffdff8bbdba5f8ead16,f62a1417630c57002c7fc1f12165789d7c4cb2834466b3d6e8611d452bbf18c3,2,float64,numpy,cpu,research_v2.1,v2_projector_recovery_42a909b5e1030c62,complete,,artifacts\runs_v2\v2_projector_recovery_42a909b5e1030c62,pca,0.026594292794388588,0.008516455919589827,2,0.005699100031051785,6288,0,complete,0
V2_PROJECTOR_RECOVERY,b0c8a13cd3919b04d01537efdaed15503d4137d6ddb606a546b71970f6c88057,57575c9bdb02b88e93b8ca4b000cb1af30f73c86a1223ffdff8bbdba5f8ead16,f62a1417630c57002c7fc1f12165789d7c4cb2834466b3d6e8611d452bbf18c3,2,float64,numpy,cpu,research_v2.1,v2_projector_recovery_b5df2c848b116ad2,complete,,artifacts\runs_v2\v2_projector_recovery_b5df2c848b116ad2,svd,0.02774139103183892,0.006408807497609507,2,0.004890899988822639,6288,0,complete,0
V2_PROJECTOR_RECOVERY,613f8991f766b9739dd0c9a6a6bd1f8dd946e947a378e87adf8180ef95273d60,57575c9bdb02b88e93b8ca4b000cb1af30f73c86a1223ffdff8bbdba5f8ead16,f62a1417630c57002c7fc1f12165789d7c4cb2834466b3d6e8611d452bbf18c3,2,float64,numpy,cpu,research_v2.1,v2_projector_recovery_7d950204c6554816,complete,,artifacts\runs_v2\v2_projector_recovery_7d950204c6554816,spectral,0.009225027754794052,0.023571350815762122,2,0.00423590000718832,6288,0,complete,0
V2_PROJECTOR_RECOVERY,cffe2ad89f9ec2057f38b14278e78a0c1b46503875a2ab05076d97a5edb7e4fb,57575c9bdb02b88e93b8ca4b000cb1af30f73c86a1223ffdff8bbdba5f8ead16,f62a1417630c57002c7fc1f12165789d7c4cb2834466b3d6e8611d452bbf18c3,2,float64,numpy,cpu,research_v2.1,v2_projector_recovery_649fd70fd0049dd3,complete,,artifacts\runs_v2\v2_projector_recovery_649fd70fd0049dd3,closure_minimizing,0.40742790034860044,1.0431772609538732,2,0.005007100000511855,6288,0,complete,0
V2_PROJECTOR_RECOVERY,73344649f17a5a4848ec6bfd7226aa8597010b61ad1677d33934a0cb3f76b7ab,f884779741cd6ab6fb6bf0d639bfe188b68934d9e427ef1849457f223ab21203,aca3b84ac17248dd01e4cf36cf4e7e862b6ca95977bb556f1ee0d885b0f652d4,3,float64,numpy,cpu,research_v2.1,v2_projector_recovery_374e252f46e16bb3,complete,,artifacts\runs_v2\v2_projector_recovery_374e252f46e16bb3,known_invariant,0.00129279546580649,0.0,2,0.00548200000775978,6288,0,complete,0
V2_PROJECTOR_RECOVERY,ad14ad52351d9c9bc0b14266150e90baaf87a8d4e584e1a7c1927e4d942493f2,f884779741cd6ab6fb6bf0d639bfe188b68934d9e427ef1849457f223ab21203,aca3b84ac17248dd01e4cf36cf4e7e862b6ca95977bb556f1ee0d885b0f652d4,3,float64,numpy,cpu,research_v2.1,v2_projector_recovery_fe34ca891621e1cb,complete,,artifacts\runs_v2\v2_projector_recovery_fe34ca891621e1cb,random,0.4017377932562903,1.3931227767943855,2,0.004959399986546487,6288,0,complete,0
