extremizer_id,tree_hash,eta,dimension,projector_rank,construction,error_type,certified_ratio_lower,certified_ratio_upper,tensor_formula,status
78371ee183745e18cafbb5225bd619f6df1f3277959cbce15295510be08a1be9,8921a91214a4c8f76fa78224976957b0bfb8b3feea3a0d83fbc8f83908084067,0.5,3,1,gated_planar_rotation_embedded,projected,0.0,1.3684555315672042e-48,rotation_tensor,CERTIFIED_LOWER_BOUND
78371ee183745e18cafbb5225bd619f6df1f3277959cbce15295510be08a1be9,8921a91214a4c8f76fa78224976957b0bfb8b3feea3a0d83fbc8f83908084067,0.5,3,1,gated_planar_rotation_embedded,normal,1.0,1.0,rotation_tensor,CERTIFIED_LOWER_BOUND
221ef86afeffb6865ac566ac57c1eb577fb64a3690e585cc4365876119e978fb,8921a91214a4c8f76fa78224976957b0bfb8b3feea3a0d83fbc8f83908084067,0.5,3,2,gated_planar_rotation_embedded,ambient,1.0,1.0,rotation_tensor,CERTIFIED_LOWER_BOUND
221ef86afeffb6865ac566ac57c1eb577fb64a3690e585cc4365876119e978fb,8921a91214a4c8f76fa78224976957b0bfb8b3feea3a0d83fbc8f83908084067,0.5,3,2,gated_planar_rotation_embedded,projected,0.0,1.3684555315672042e-48,rotation_tensor,CERTIFIED_LOWER_BOUND
221ef86afeffb6865ac566ac57c1eb577fb64a3690e585cc4365876119e978fb,8921a91214a4c8f76fa78224976957b0bfb8b3feea3a0d83fbc8f83908084067,0.5,3,2,gated_planar_rotation_embedded,normal,1.0,1.0,rotation_tensor,CERTIFIED_LOWER_BOUND
52f0cd5ddca3d152a19b130b46b95821c2fe65fe221104b226927fed8fae4ff4,8921a91214a4c8f76fa78224976957b0bfb8b3feea3a0d83fbc8f83908084067,1.0,2,1,gated_planar_rotation_embedded,ambient,1.0,1.0,rotation_tensor,CERTIFIED_LOWER_BOUND
52f0cd5ddca3d152a19b130b46b95821c2fe65fe221104b226927fed8fae4ff4,8921a91214a4c8f76fa78224976957b0bfb8b3feea3a0d83fbc8f83908084067,1.0,2,1,gated_planar_rotation_embedded,projected,0.0,0.0,rotation_tensor,CERTIFIED_LOWER_BOUND
52f0cd5ddca3d152a19b130b46b95821c2fe65fe221104b226927fed8fae4ff4,8921a91214a4c8f76fa78224976957b0bfb8b3feea3a0d83fbc8f83908084067,1.0,2,1,gated_planar_rotation_embedded,normal,1.0,1.0,rotation_tensor,CERTIFIED_LOWER_BOUND
2d4b8a08f9ae8d2fac2cac6bd620f2e812b628d9862143168f8efa742595488b,8921a91214a4c8f76fa78224976957b0bfb8b3feea3a0d83fbc8f83908084067,1.0,3,1,gated_planar_rotation_embedded,ambient,1.0,1.0,rotation_tensor,CERTIFIED_LOWER_BOUND
2d4b8a08f9ae8d2fac2cac6bd620f2e812b628d9862143168f8efa742595488b,8921a91214a4c8f76fa78224976957b0bfb8b3feea3a0d83fbc8f83908084067,1.0,3,1,gated_planar_rotation_embedded,projected,0.0,0.0,rotation_tensor,CERTIFIED_LOWER_BOUND
2d4b8a08f9ae8d2fac2cac6bd620f2e812b628d9862143168f8efa742595488b,8921a91214a4c8f76fa78224976957b0bfb8b3feea3a0d83fbc8f83908084067,1.0,3,1,gated_planar_rotation_embedded,normal,1.0,1.0,rotation_tensor,CERTIFIED_LOWER_BOUND
