family,dim,n,alpha_mean,alpha_std,r_eff,r_eff_lo,r_eff_hi,r_eff_entropy,R1,R4,stable_rank,interaction_over_first_order,neg_energy
A1_narrow_a1.5_e0.15,16,10,1.495097968379633,0.08553246832105232,4.95684748511354,4.156150076976799,5.843221259870086,3.4334182485206575,0.5479276604026568,0.9473444955115161,1.959466406095278,0.56738706387236,0.40697510673217663
A1_narrow_a1.5_e0.3,16,10,1.4665661232664842,0.1753456091266003,5.434000722103477,4.58752099790335,6.198087715882666,3.7722382343980483,0.49232143683280755,0.9345289556597077,2.0890238541279187,0.6484333985425216,0.437402902888197
A2_bimodal_0.3_2.0_p0.25,16,10,0.7646666666666667,0.7315187482596285,4.850483113115637,3.757767633661066,6.071552556689341,3.705869379115255,0.45015989272063417,0.9376295929237349,2.344930976544378,1.1520669942720665,0.5025302448656745
A2_bimodal_0.3_2.0_p0.5,16,10,1.1500000000000001,0.807245365416714,4.355343614821673,3.7054048605722594,4.933640854381698,3.4322587156354354,0.45575444754727956,0.9690498025524704,2.2535576491022082,1.0732132211902154,0.502621842239712
A2_bimodal_0.3_2.0_p0.75,16,10,1.614666666666667,0.6725136340739511,3.50168108427084,3.0150874989962424,3.988026069714578,2.833375582655557,0.45847190113682706,0.9921346005485902,2.2057041002440045,0.3595990849450292,0.4895846715356737
A2_bimodal_0.5_1.5_p0.25,16,10,0.78,0.43796857643246334,5.714028090640257,4.591036133289969,6.650654027635301,4.44905942488173,0.38096639446232083,0.9115666672947128,2.72488999364759,1.0628416036833415,0.4917801709024875
A2_bimodal_0.5_1.5_p0.5,16,10,1.0,0.4906941145101265,4.832670093769269,4.019080229222679,5.495386786536072,3.618474088600099,0.47300676802664715,0.9544316809683574,2.196461990574155,0.7794340915776645,0.4669851632582038
A2_bimodal_0.5_1.5_p0.75,16,10,1.2533333333333334,0.4017265479753795,4.258016209443877,3.6348069515063095,4.889277918037739,3.0044397606518976,0.5286322404701771,0.9709589589379446,1.944549114873536,0.40401092035610625,0.44312194668010985
A3_baseline_U0.3_2.0,16,10,1.1980248734177166,0.44226868639919703,4.104047780915867,3.6606074394583943,4.502100056545752,3.018949825393558,0.5170928629737561,0.9814179733287982,1.9745829385675946,0.8027733714154005,0.4286115267400305
A4_loguniform,16,10,0.9226744262130309,0.5776311599968733,5.238596885049244,4.526410273089155,5.975630157983377,3.953804528251392,0.43433623584378084,0.948439194249928,2.390089678748143,0.661697235693383,0.47474398099568205
A4_wide_U0.2_2.5,16,10,1.3974118402582738,0.6432836979112416,3.9514489826747576,3.3261530382474063,4.664198834751252,3.0378770533964414,0.5266354053620388,0.9754952749045953,2.0017094543362437,0.6136858023914045,0.44238709623993333
A0_degenerate_a0.5,32,10,0.5,0.0,8.445955083557559,7.752785972547603,9.053651860445694,6.4879730065100265,0.3273107247349357,0.7913614306780936,3.2605858261514564,0.6102792303502845,0.48212786647692535
A0_degenerate_a1.0,32,10,1.0,0.0,6.875174247111133,5.79861905949265,7.829492005996708,4.909865793009784,0.4410545899302997,0.8732900313923915,2.436464458704977,0.3491136599111434,0.4311243997501773
A0_degenerate_a1.5,32,10,1.5,0.0,5.541270056608213,4.529113236528831,6.504247133843387,3.780066036614838,0.5527108485233614,0.9288894976766109,1.903293746379664,0.7294078015011769,0.3474057700499934
A1_narrow_a0.5_e0.05,32,10,0.4996912778110672,0.02825155461885333,8.440463472739712,7.688791305054116,9.121477146226475,6.619123081622949,0.3343771244917085,0.7796315269127773,3.122930723850948,0.5587073185356921,0.49358907124403
A1_narrow_a0.5_e0.15,32,10,0.5060563579580463,0.080097335553581,8.40831070016674,7.584837714872367,9.163378497162867,6.430188352021235,0.33469986404560437,0.796384601642837,3.1363861420357937,0.7415725097690737,0.4829597657131804
A1_narrow_a0.5_e0.3,32,10,0.47851375430974147,0.16558273663864526,7.720902653104778,7.237559539229933,8.176658800076419,5.796863817461313,0.35037439100095646,0.8331993714118475,2.937065667357582,0.6475510414684695,0.49070009837702244
A1_narrow_a1.0_e0.05,32,10,1.002894445420415,0.02845323848024936,6.850160600128286,5.884829358135763,7.631102975461145,4.908703001513829,0.42432002455750045,0.8719207449473017,2.503030509468334,0.38940265636255805,0.446789606748463
A1_narrow_a1.0_e0.15,32,10,1.0114718826331024,0.08213137409701252,6.520534019870164,5.561850188420742,7.558234443112349,4.610104921359847,0.426584162778335,0.8860405889337079,2.4058414848403222,0.3366170280735276,0.4573297144241913
A1_narrow_a1.0_e0.3,32,10,0.990803480452003,0.16594365842673808,6.083700232467517,5.067616164479503,7.171183402090551,4.338803141770846,0.49070290101836606,0.9035312453865136,2.2351575170874733,0.436898063449539,0.4013082398229308
A1_narrow_a1.5_e0.05,32,10,1.5004004008771936,0.028458271150889437,5.863758390212611,4.666540351902494,6.975617881253416,4.238573406000751,0.4889530662325548,0.9003344253938854,2.263067974488385,0.6967511403763177,0.38004486359369943
A1_narrow_a1.5_e0.15,32,10,1.495097968379633,0.08553246832105232,5.322971262567302,4.466209607419703,6.216616300033329,3.6907847913215326,0.5141525996976692,0.9329361898121326,2.0871303312891145,0.3536284540893475,0.403391227787119
A1_narrow_a1.5_e0.3,32,10,1.4665661232664842,0.1753456091266003,5.480773111548892,4.249391575577595,6.737420944030049,4.014509089421248,0.48752580002754947,0.923466532607755,2.251492934265312,0.5265283175211147,0.4085866570677571
A2_bimodal_0.3_2.0_p0.25,32,10,0.7646666666666667,0.7315187482596285,6.05081637901343,5.352108365232793,6.754249758851456,4.745834036838182,0.4045327715185687,0.8997156057325446,2.5530278404963815,0.6295327151538744,0.48237677235453447
A2_bimodal_0.3_2.0_p0.5,32,10,1.1500000000000001,0.807245365416714,4.095551258542995,3.654515671191081,4.494784628568742,3.2613595431729805,0.4849213615422075,0.976920687441965,2.0888893411778198,0.6457542476477875,0.47999019472720894
A2_bimodal_0.3_2.0_p0.75,32,10,1.614666666666667,0.6725136340739511,2.7827421920458746,2.4548309427491493,3.115239081202308,2.318460452080785,0.5315754619375124,0.9972823958930659,1.889608332419138,0.2383249805313154,0.47312748996415194
A2_bimodal_0.5_1.5_p0.25,32,10,0.78,0.43796857643246334,6.221932141938796,5.555960365279817,6.799584923807266,4.737763727966623,0.40403555825617465,0.8922535586952091,2.540158438724832,0.48892799420165645,0.46381134173415983
A2_bimodal_0.5_1.5_p0.5,32,10,1.0,0.4906941145101265,4.432117195471128,3.9481816430627217,4.94077783106979,3.2796294016371683,0.4612019760517619,0.9688831491330605,2.192453240305973,0.5109535606351697,0.47321413641973403
A2_bimodal_0.5_1.5_p0.75,32,10,1.2533333333333334,0.4017265479753795,3.9021358531868864,3.2813379283366606,4.570239944493642,2.8238857922238845,0.5356064039430263,0.9785299623486393,1.8860243254287905,0.293357905720319,0.4514625758999009
A3_baseline_U0.3_2.0,32,10,1.1980248734177166,0.44226868639919703,4.3752266254184535,3.653807200358398,5.027937281960463,3.266808389027421,0.4956509546139167,0.9711638887579573,2.0512986354104252,0.5396060288751687,0.4700152157653467
A4_loguniform,32,10,0.9226744262130309,0.5776311599968733,5.092940133574553,4.423654318627744,5.796062383934037,3.8192523699514154,0.45068531938314005,0.9455394017166417,2.2837845344282934,0.5244119165281449,0.4818913314457684
A4_wide_U0.2_2.5,32,10,1.3974118402582738,0.6432836979112416,4.131705566646647,3.5585699896742735,4.627431253926239,3.2766124128024794,0.4774549971343376,0.9794744285419623,2.165005618538141,0.40937007000139874,0.4784338186895041
