full_mask_projected_error,internal_nodes,main_effect,node_index,shapley_projected,topology,tree_hash
0.2648507299999998,8,0.0,4,0.03310634124999999,comb,9588bc22dc001b2809f58d2acb767675a6db6407ec6095da7dfae50169e1b1e7
0.2648507299999998,8,0.0,5,0.03310634124999999,comb,9588bc22dc001b2809f58d2acb767675a6db6407ec6095da7dfae50169e1b1e7
0.2648507299999998,8,0.0,6,0.03310634124999999,comb,9588bc22dc001b2809f58d2acb767675a6db6407ec6095da7dfae50169e1b1e7
0.2648507299999998,8,0.0,7,0.03310634124999999,comb,9588bc22dc001b2809f58d2acb767675a6db6407ec6095da7dfae50169e1b1e7
0.06723584999999987,8,0.0,0,0.014538526132468223,balanced,d18a6d36d183228618521e28e6971898bb7387d22b68ff47a494258df4de13c9
0.06723584999999987,8,0.0,1,0.014538526132468223,balanced,d18a6d36d183228618521e28e6971898bb7387d22b68ff47a494258df4de13c9
0.06723584999999987,8,0.0,2,0.014538526132468223,balanced,d18a6d36d183228618521e28e6971898bb7387d22b68ff47a494258df4de13c9
0.06723584999999987,8,0.0,3,0.014538526132468223,balanced,d18a6d36d183228618521e28e6971898bb7387d22b68ff47a494258df4de13c9
0.06723584999999987,8,0.0,4,-0.00011408656368380542,balanced,d18a6d36d183228618521e28e6971898bb7387d22b68ff47a494258df4de13c9
0.06723584999999987,8,0.0,5,0.004654959298747279,balanced,d18a6d36d183228618521e28e6971898bb7387d22b68ff47a494258df4de13c9
0.06723584999999987,8,0.0,6,0.004654959298747279,balanced,d18a6d36d183228618521e28e6971898bb7387d22b68ff47a494258df4de13c9
0.06723584999999987,8,0.0,7,-0.00011408656368378643,balanced,d18a6d36d183228618521e28e6971898bb7387d22b68ff47a494258df4de13c9
0.03851792999999992,8,0.0,0,0.009719473915785674,two_branch,5920e491f92232cc138e4f67f308e1de938fed4ed432f2a27d5178b6c2dd1363
0.03851792999999992,8,0.0,1,0.009719473915785674,two_branch,5920e491f92232cc138e4f67f308e1de938fed4ed432f2a27d5178b6c2dd1363
0.03851792999999992,8,0.0,2,0.009719473915785674,two_branch,5920e491f92232cc138e4f67f308e1de938fed4ed432f2a27d5178b6c2dd1363
0.03851792999999992,8,0.0,3,-6.529091506918763e-05,two_branch,5920e491f92232cc138e4f67f308e1de938fed4ed432f2a27d5178b6c2dd1363
0.03851792999999992,8,0.0,4,0.004777690498925211,two_branch,5920e491f92232cc138e4f67f308e1de938fed4ed432f2a27d5178b6c2dd1363
0.03851792999999992,8,0.0,5,0.004777690498925211,two_branch,5920e491f92232cc138e4f67f308e1de938fed4ed432f2a27d5178b6c2dd1363
0.03851792999999992,8,0.0,6,-6.529091506917044e-05,two_branch,5920e491f92232cc138e4f67f308e1de938fed4ed432f2a27d5178b6c2dd1363
0.03851792999999992,8,0.0,7,-6.529091506917044e-05,two_branch,5920e491f92232cc138e4f67f308e1de938fed4ed432f2a27d5178b6c2dd1363
