key,cy_score,top10,origins,year,title,authors,venue,doi,arxiv,openalex,abstract
10.48550/arxiv.1810.11998,0,False,fwd:CY15,2018,Asynchronous Distributed Power Control of Multi-Microgrid Systems Based on the Operator Splitting Approach,Zhaojian Wang; Shengwei Mei; Feng Liu; Peng Yi; Ming Cao,arXiv (Cornell University),10.48550/arxiv.1810.11998,1810.11998,W2939114304,"Forming (hybrid) AC/DC microgrids (MGs) has become a promising manner for the interconnection of various kinds of distributed generators that are inherently AC or DC electric sources. This paper addresses the distributed asynchronous power control problem of hybrid microgrids, considering imperfect communication due to non-identical sampling rates and communication delays. To this end, we first formulate the optimal power control problem of MGs and devise a synchronous algorithm. Then, we analyze the impact of asynchrony on optimal power control and propose an asynchronous iteration algorithm based on the synchronous version. By introducing a random clock at each iteration, different types of asynchrony are fitted into a unified framework, where the asynchronous algorithm is converted into a fixed-point problem based on the operator splitting method, leading to a convergence proof. We further provide an upper bound estimation of the time delay in the communication. Moreover, the real-time implementation of the proposed algorithm in both AC and DC MGs is introduced. By taking the power system as a solver, the controller is simplified by reducing one order and the power loss can be considered. Finally, a benchmark MG is utilized to verify the effectiveness and advantages of the proposed algorithm."
10.1109/tac.2020.3011916,0,False,fwd:CY15,2020,Asynchronous and Time-Varying Proximal Type Dynamics in Multiagent Network Games,Carlo Cenedese; Giuseppe Belgioioso; Yu Kawano; Sergio Grammatico; Ming Cao,IEEE Transactions on Automatic Control,10.1109/tac.2020.3011916,,W3045769608,"In this article, we study proximal type dynamics in the context of multiagent network games. We analyze several conjugations of this class of games, providing convergence results. Specifically, we look into synchronous/asynchronous dynamics with time-invariant communication network and synchronous dynamics with time-varying communication networks. Finally, we validate the theoretical results via numerical simulations on opinion dynamics."
10.48550/arxiv.1909.11203,0,False,fwd:CY15,2019,Asynchronous and time-varying proximal type dynamics multi-agent network games,Carlo Cenedese; Giuseppe Belgioioso; Yu Kawano; Sergio Grammatico; Ming Cao,arXiv (Cornell University),10.48550/arxiv.1909.11203,1909.11203,W2977007652,"In this paper, we study proximal type dynamics in the context of noncooperative multi-agent network games. These dynamics arise in different applications, since they describe distributed decision making in multi-agent networks, e.g., in opinion dynamics, distributed model fitting and network information fusion, where the goal of each agent is to seek an equilibrium using local information only. We analyse several conjugations of this class of games, providing convergence results, or designing equilibrium seeking algorithms when the original dynamics fail to converge. For the games subject only to local constraints we look into both synchronous/asynchronous dynamics and time-varying communication networks. For games subject in addition to coupling constraints, we design an equilibrium seeking algorithm converging to a special class of game equilibria. Finally, we validate the theoretical results via numerical simulations on opinion dynamics and distributed model fitting."
10.1016/j.automatica.2020.109269,0,False,fwd:CY15,2020,Asynchronous distributed voltage control in active distribution networks,Zhaojian Wang; Feng Liu; Yifan Su; Peng Yang; Boyu Qin,Automatica,10.1016/j.automatica.2020.109269,1908.06548,W3088904003,"With the explosion of distributed energy resources (DERs), voltage regulation in distribution networks has been facing a great challenge. This paper derives an asynchronous distributed voltage control strategy based on the partial primal-dual gradient algorithm, where both active and reactive controllable power of DERs are considered. Different types of asynchrony due to imperfect communication or practical limits, such as random time delays and non-identical sampling/control rates, are fitted into a unified analytic framework. The asynchronous algorithm is then converted into a fixed-point problem by employing the operator splitting method, which leads to a convergence proof with mild conditions. Moreover, an online implementation method is provided to make the controller adjustable to time-varying environments. Finally, numerical experiments are carried out on a rudimentary 8-bus system and the IEEE-123 distribution network to verify the effectiveness of the proposed method."
10.1007/s00041-008-9044-y,0,False,kw:openalex:CY1;kw:openalex:CY4,2008,"Atoms of All Channels, Unite! Average Case Analysis of Multi-Channel Sparse Recovery Using Greedy Algorithms",Rémi Gribonval; Holger Rauhut; Karin Schnass; Pierre Vandergheynst,Journal of Fourier Analysis and Applications,10.1007/s00041-008-9044-y,,https://openalex.org/W2086413318,
10.1109/tsp.2016.2614793,0,False,kw:openalex:CY2,2016,Autoregressive Moving Average Graph Filtering,Elvin Isufi; Andreas Loukas; Andrea Simonetto; Geert Leus,IEEE Transactions on Signal Processing,10.1109/tsp.2016.2614793,,https://openalex.org/W2521050763,"One of the cornerstones of the field of signal processing on graphs are graph filters, direct analogs of classical filters, but intended for signals defined on graphs. This paper brings forth new insights on the distributed graph filtering problem. We design a family of autoregressive moving average (ARMA) recursions, which are able to approximate any desired graph frequency response, and give exact solutions for specific graph signal denoising and interpolation problems. The philosophy to design the ARMA coefficients independently from the underlying graph renders the ARMA graph filters suitable in static and, particularly, time-varying settings. The latter occur when the graph signal and/or graph topology are changing over time. We show that in case of a time-varying graph signal, our approach extends naturally to a two-dimensional filter, operating concurrently in the graph and regular time domain. We also derive the graph filter behavior, as well as sufficient conditions for filter stability when the graph and signal are time varying. The analytical and numerical results presented in this paper illustrate that ARMA graph filters are practically appealing for static and time-varying settings, as predicted by theoretical derivations."
10.1103/revmodphys.93.035004,0,False,kw:openalex:CY2,2021,Baryogenesis from the weak scale to the grand unification scale,Dietrich Bödeker; W. Buchmüller,Reviews of Modern Physics,10.1103/revmodphys.93.035004,,https://openalex.org/W3156500361,"The standard model of elementary particle physics, once augmented with Sakharov's conditions, offers several scenarios to explain today's matter-antimatter asymmetry. This survey evaluates the paths to baryogenesis. Of special interest is that time-reversal violation in neutrino physics, together with large mixings, seems poised to produce the observed asymmetry via leptogenesis. This review occurs at a time when several experiments are on the threshold of a precise measurement of time violation in lepton mixing."
oa:https://openalex.org/W3131577017,0,False,kw:openalex:CY3,2010,Benefits from the generalized diagonal dominance,Vladimir Kostić,National Repository of Dissertations in Serbia,,,https://openalex.org/W3131577017,"This theses is dedicated to the study of generalized diagonal dominance and its various beneflts. The starting point is the well known nonsingularity result of strictly diagonally dominant matrices, from which generalizations were formed in difierent directions. In theses, after a short overview of very well known results, special attention was turned to contemporary contributions, where overview of already published original material is given, together with new obtained results. Particulary, Ger•sgorin-type localization theory for matrix pencils is developed, and application of the results in wireless sensor networks optimization problems is shown."
10.1257/jep.14.4.23,0,False,kw:openalex:CY1,2000,"Beyond Computation: Information Technology, Organizational Transformation and Business Performance",Erik Brynjolfsson; Lorin M. Hitt,The Journal of Economic Perspectives,10.1257/jep.14.4.23,,https://openalex.org/W2151169308,"To understand the economic value of computers, one must broaden the traditional definition of both the technology and its effects. Case studies and firm-level econometric evidence suggest that: 1) organizational “investments” have a large influence on the value of IT investments; and 2) the benefits of IT investment are often intangible and disproportionately difficult to measure. Our analysis suggests that the link between IT and increased productivity emerged well before the recent surge in the aggregate productivity statistics and that the current macroeconomic productivity revival may in part reflect the contributions of intangible capital accumulated in the past."
10.24840/2183-1939,0,False,kw:openalex:CY3,2019,Boletim da Aproged #34,,Boletim da APROGED/Boletim da Aproged,10.24840/2183-1939,,https://openalex.org/W4251089462,"This paper is an addendum to a previous article [01] in which several examples demonstrate that ""all natural or artificial objects have a shape or form resulting from a natural (bio-physical) or technical (design) process, and therefore have an intrinsic (immanent) geometric constituent"", focusing on the fact that ""reality reveals geometry and geometry creates reality"". Since many objects are metaphors for geometric and mathematical content and the starting point for mathematical abstraction, one can conclude that geometry is simply everywhere. This sort of ""Appendix"" focuses on the symbiotic terms ""grasping via senses"" and ""meaning"" in connection with geometry and its visualisation and interpretation, from objects found in our usual environment. A real object that we see or recognize may even gain spiritual meaning, because it is extraordinary and rare and has, therefore, besides its somehow practical purpose, a symbolic one. Here, simplicity, symmetry, smoothness and regularity play an essential role beyond simple aesthetics. In our mainly secular culture, the aesthetic point of view stands in the foreground."
10.1103/physrevd.82.063520,0,False,kw:openalex:CY2,2010,Boltzmann brains and the scale-factor cutoff measure of the multiverse,Andrea De Simone; Alan H. Guth; Andrei Linde; Mahdiyar Noorbala; Michael P. Salem; Alexander Vilenkin,"Physical review. D. Particles, fields, gravitation, and cosmology/Physical review. D. Particles and fields",10.1103/physrevd.82.063520,,https://openalex.org/W2008313974,"To make predictions for an eternally inflating ``multiverse,'' one must adopt a procedure for regulating its divergent spacetime volume. Recently, a new test of such spacetime measures has emerged: normal observers---who evolve in pocket universes cooling from hot big bang conditions---must not be vastly outnumbered by ``Boltzmann brains''---freak observers that pop in and out of existence as a result of rare quantum fluctuations. If the Boltzmann brains prevail, then a randomly chosen observer would be overwhelmingly likely to be surrounded by an empty world, where all but vacuum energy has redshifted away, rather than the rich structure that we observe. Using the scale-factor cutoff measure, we calculate the ratio of Boltzmann brains to normal observers. We find the ratio to be finite, and give an expression for it in terms of Boltzmann brain nucleation rates and vacuum decay rates. We discuss the conditions that these rates must obey for the ratio to be acceptable, and we discuss estimates of the rates under a variety of assumptions."
10.1016/j.jfa.2015.06.022,0,True,kw:openalex:CY4,2015,Calderón–Zygmund estimates and non-uniformly elliptic operators,Maria Colombo; Giuseppe Mingione,Journal of Functional Analysis,10.1016/j.jfa.2015.06.022,,https://openalex.org/W2198552431,
10.1016/j.ijggc.2015.04.006,0,False,kw:openalex:CY2,2015,Capillary trapping for geologic carbon dioxide storage – From pore scale physics to field scale implications,Samuel Krevor; Martin J. Blunt; Sally M. Benson; Christopher H. Pentland; Catriona Reynolds; Ali Al‐Menhali,International journal of greenhouse gas control,10.1016/j.ijggc.2015.04.006,,https://openalex.org/W1977929385,"A significant amount of theoretical, numerical and observational work has been published focused on various aspects of capillary trapping in CO2 storage since the IPCC Special Report on Carbon Dioxide Capture and Storage (2005). This research has placed capillary trapping in a central role in nearly every aspect of the geologic storage of CO2. Capillary, or residual, trapping – where CO2 is rendered immobile in the pore space as disconnected ganglia, surrounded by brine in a storage aquifer – is controlled by fluid and interfacial physics at the size scale of rock pores. These processes have been observed at the pore scale in situ using X-ray microtomography at reservoir conditions. A large database of conventional centimetre core scale observations for flow modelling are now available for a range of rock types and reservoir conditions. These along with the pore scale observations confirm that trapped saturations will be at least 10% and more typically 30% of the pore volume of the rock, stable against subsequent displacement by brine and characteristic of water-wet systems. Capillary trapping is pervasive over the extent of a migrating CO2 plume and both theoretical and numerical investigations have demonstrated the first order impacts of capillary trapping on plume migration, immobilisation and CO2 storage security. Engineering strategies to maximise capillary trapping have been proposed that make use of injection schemes that maximise sweep or enhance imbibition. National assessments of CO2 storage capacity now incorporate modelling of residual trapping where it can account for up to 95% of the storage resource. Field scale observations of capillary trapping have confirmed the formation and stability of residually trapped CO2 at masses up to 10,000 tons and over time scales of years. Significant outstanding uncertainties include the impact of heterogeneity on capillary immobilisation and capillary trapping in mixed-wet systems. Overall capillary trapping is well "
10.1007/jhep02(2016)020,0,False,kw:openalex:CY3,2016,Causality constraints on corrections to the graviton three-point coupling,Xián O. Camanho; José D. Edelstein; Juan Maldacena; Alexander Zhiboedov,Journal of High Energy Physics,10.1007/jhep02(2016)020,,https://openalex.org/W1752223565,"We consider higher derivative corrections to the graviton three-point coupling within a weakly coupled theory of gravity. Lorentz invariance allows further structures beyond the one present in the Einstein theory. We argue that these are constrained by causality. We devise a thought experiment involving a high energy scattering process which leads to causality violation if the graviton three-point vertex contains the additional structures. This violation cannot be fixed by adding conventional particles with spins J ≤ 2. But, it can be fixed by adding an infinite tower of extra massive particles with higher spins, J > 2. In AdS theories this implies a constraint on the conformal anomaly coefficients a − c c ≲ 1 Δ gap 2 $$ \left|\frac{a-c}{c}\right|\lesssim \frac{1}{\Delta_{\mathrm{gap}}^2} $$ n terms of Δgap, the dimension of the lightest single trace operator with spin J > 2. For inflation, or de Sitter-like solutions, it indicates the existence of massive higher spin particles if the gravity wave non-gaussianity deviates significantly from the one computed in the Einstein theory."
10.1175/amsmonographs-d-16-0010.1,0,False,kw:openalex:CY4,2016,Cirrus Clouds,Andrew J. Heymsfield; Martina Krämer; Anna Luebke; P. R. A. Brown; Daniel J. Cziczo; Charmaine Franklin,Meteorological Monographs,10.1175/amsmonographs-d-16-0010.1,,https://openalex.org/W2790803537,"Abstract The goal of this chapter is to synthesize information about what is now known about one of the three main types of clouds, cirrus, and to identify areas where more knowledge is needed. Cirrus clouds, composed of ice particles, form in the upper troposphere, where temperatures are generally below −30°C. Satellite observations show that the maximum-occurrence frequency of cirrus is near the tropics, with a large latitudinal movement seasonally. In situ measurements obtained over a wide range of cirrus types, formation mechanisms, temperatures, and geographical locations indicate that the ice water content and particle size generally decrease with decreasing temperature, whereas the ice particle concentration is nearly constant or increases slightly with decreasing temperature. High ice concentrations, sometimes observed in strong updrafts, result from homogeneous nucleation. The satellite-based and in situ measurements indicate that cirrus ice crystals typically differ from the simple, idealized geometry for smooth hexagonal shapes, indicating complexity and/or surface roughness. Their shapes significantly impact cirrus radiative properties and feedbacks to climate. Cirrus clouds, one of the most uncertain components of general circulation models (GCM), pose one of the greatest challenges in predicting the rate and geographical pattern of climate change. Improved measurements of the properties and size distributions and surface structure of small ice crystals (about 20 μm) and identifying the dominant ice nucleation process (heterogeneous versus homogeneous ice nucleation) under different cloud dynamical forcings will lead to a better representation of their properties in GCM and in modeling their current and future effects on climate."
10.1016/j.laa.2017.11.017,0,True,kw:openalex:CY3,2017,Classification of joint numerical ranges of three hermitian matrices of size three,Konrad Szymański; Stephan Weis; Karol Życzkowski,Linear Algebra and its Applications,10.1016/j.laa.2017.11.017,,https://openalex.org/W2309751936,
10.1145/268998.266662,0,False,kw:openalex:CY2,1997,Cluster-based scalable network services,Armando Fox; Steven D. Gribble; Yatin Chawathe; Eric A. Brewer; Paul P. G. Gauthier,,10.1145/268998.266662,,https://openalex.org/W2044534358,"We identifit three fundamental requirements for scalable network services: incremental scalability and oveflow growth provisioning, 24x7 availability through fault masking, and costeffectiveness.We argue that clusters of commodity workstations interconnected by a high-speed SAN are exceptionally well-suited to meeting these challenges for Internet-server workloads, provided the software infrastructure for managing partial failures and administering a large cluster does not have to be reinvented for each new service.To this end, we propose a general, layered architecture for building cluster-based scalable network services that encapsulates the above requirements for reuse, and a service-programming model based on composable workers thatpe$onn transformation, aggregation, caching, i and customization (TACC) of Internet content.For both performance and implementation simplicity, the architecture and TACC programming model exploit BASE, a weaker-than-ACID data semantics that results from trading consistency for availability and relying on sof state for robustness in failure management., Our ,qychitecture can be used as an ""off the shelf * irtfrastructural platfonn for creating new network services, allowing authors to focus on the ""content"" of the service {by composing TACC building blocks) rather than its implementation.We discuss two real implemeritations of services based on this architecture: TranSend, a Web distillation proxy deployed to the UC Berkeley dialup IP population, and HotBot, the commercial implementation of the Inktomi search engine.We present detailed measurements of TranSend's performance based on substantial client traces, as well as anecdotal evidence from the TranSend and HotBot experience, to support the claims made for the architecture."
10.1103/physrevd.104.015026,0,True,kw:openalex:CY4,2021,Complete set of dimension-eight operators in the standard model effective field theory,Hao-Lin Li; Zhe Ren; Jing Shu; Ming-Lei Xiao; Jiang-Hao Yu; Yu-Hui Zheng,Physical review. D/Physical review. D.,10.1103/physrevd.104.015026,,https://openalex.org/W3021232075,"We present a complete list of the dimension-eight operator basis in the standard model effective field theory using group theoretic techniques in a systematic and automated way. We adopt a new form of operators in terms of the irreducible representations of the Lorentz group and identify the Lorentz structures as states in a $SU(N)$ group. In this way, redundancy from equations of motion is absent and that from integration by part is treated using the fact that the independent Lorentz basis forms an invariant subspace of the $SU(N)$ group. We also decompose operators into the ones with definite permutation symmetries among flavor indices to deal with subtlety from repeated fields. For the first time to our knowledge, we provide the explicit form of independent flavor-specified operators in a systematic way. Our algorithm can easily be applied to higher-dimensional standard model effective field theory and other effective field theories, making these studies more approachable."
10.1016/s0165-1684(03)00002-1,0,False,fwd:OY02,2003,Computation of symmetric positive definite Toeplitz matrices by the hybrid steepest descent method,Konstantinos Slavakis; Isao Yamada; Kohichi Sakaniwa,Signal Processing,10.1016/s0165-1684(03)00002-1,,W1972922100,
10.1007/s11228-020-00548-y,0,False,fwd:OY02,2020,Continuous Dynamics Related to Monotone Inclusions and Non-Smooth Optimization Problems,Ernö Robert Csetnek,Set-Valued and Variational Analysis,10.1007/s11228-020-00548-y,2007.00460,W3039207817,"Abstract The aim of this survey is to present the main important techniques and tools from variational analysis used for first and second order dynamical systems of implicit type for solving monotone inclusions and non-smooth optimization problems. The differential equations are expressed by means of the resolvent (in case of a maximally monotone set valued operator) or the proximal operator for non-smooth functions. The asymptotic analysis of the trajectories generated relies on Lyapunov theory, where the appropriate energy functional plays a decisive role. While the most part of the paper is related to monotone inclusions and convex optimization problems in the variational case, we present also results for dynamical systems for solving non-convex optimization problems, where the Kurdyka-Łojasiewicz property is used."
10.1016/j.jmse.2020.02.002,0,False,kw:openalex:CY4,2020,"Contraction flexibility, operating leverage, and financial leverage",Zhun Li; Qiang Li; Yong Zeng,Journal of Management Science and Engineering,10.1016/j.jmse.2020.02.002,,https://openalex.org/W3008225641,"This study investigates the impacts of contraction flexibility and operating leverage on financial leverage from the perspective of the agency conflict between shareholders and debtholders. In a continuous-time real option framework, we demonstrate that shareholders’ contraction flexibility may have an adverse effect on financial leverage, and that the substitution relation between operating leverage and financial leverage is persistent or pronounced in the presence of contraction flexibility. The evidence from Chinese listed firms not only supports our theoretical predictions well, but also offers a method to examine the agency conflict hypothesis. We suggest that the high proportion of bank loans or long-term debt in total liabilities can help levered firms alleviate the agency problem arising from contraction decisions."
10.1103/revmodphys.88.035006,0,False,kw:openalex:CY3,2016,Control principles of complex systems,Yang‐Yu Liu; Albert-Ĺaszló Barabási,Reviews of Modern Physics,10.1103/revmodphys.88.035006,,https://openalex.org/W1877916171,Complex networks range from subcellular biological networks to the Internet. Our ability to control these systems deeply challenges our understanding. Control also may well be a guiding principle in their design. This article reviews the emerging science of the control of complex networks.
10.1007/978-3-540-85367-1_7,0,False,fwd:OY02,2009,Convergence Rate Analysis,Jiu Ding; Aihui Zhou,Tsinghua University texts,10.1007/978-3-540-85367-1_7,,W52475494,
10.1007/978-3-319-41589-5_4,0,False,fwd:OY02,2016,Convergence Rate Analysis of Several Splitting Schemes,Damek Davis; Wotao Yin,Scientific computation,10.1007/978-3-319-41589-5_4,,W2216134724,
10.1007/s10957-022-02136-6,0,False,kw:openalex:CY1;kw:openalex:CY4,2022,Convergence Rates for the Relaxed Peaceman-Rachford Splitting Method on a Monotone Inclusion Problem,Chee-Khian Sim,Journal of Optimization Theory and Applications,10.1007/s10957-022-02136-6,,https://openalex.org/W4311129187,"Abstract We consider the convergence behavior using the relaxed Peaceman–Rachford splitting method to solve the monotone inclusion problem $$0 \in (A + B)(u)$$ 0 ∈ ( A + B ) ( u ) , where $$A, B: \Re ^n \rightrightarrows \Re ^n$$ A , B : ℜ n ⇉ ℜ n are maximal $$\beta $$ β -strongly monotone operators, $$n \ge 1$$ n ≥ 1 and $$\beta > 0$$ β > 0 . Under a technical assumption, convergence of iterates using the method on the problem is proved when either A or B is single-valued, and the fixed relaxation parameter $$\theta $$ θ lies in the interval $$(2 + \beta , 2 + \beta + \min \{ \beta , 1/\beta \})$$ ( 2 + β , 2 + β + min { β , 1 / β } ) . With this convergence result, we address an open problem that is not settled in Monteiro et al. (Computat Optim Appl 70:763–790, 2018) on the convergence of these iterates for $$\theta \in (2 + \beta , 2 + \beta + \min \{ \beta , 1/\beta \})$$ θ ∈ ( 2 + β , 2 + β + min { β , 1 / β } ) . Pointwise convergence rate results and R-linear convergence rate results when $$\theta $$ θ lies in the interval $$[2 + \beta , 2 + \beta + \min \{\beta , 1/\beta \})$$ [ 2 + β , 2 + β + min { β , 1 / β } ) are also provided in the paper. Our analysis to achieve these results is atypical and hence novel. Numerical experiments on the weighted Lasso minimization problem are conducted to test the validity of the assumption."
10.1007/s10957-019-01524-9,0,False,fwd:OY02,2019,Convergence Rates of Forward–Douglas–Rachford Splitting Method,Cesare Molinari; Jingwei Liang; Jalal Fadili,Journal of Optimization Theory and Applications,10.1007/s10957-019-01524-9,1801.01088,W2782341585,"Over the past decades, operator splitting methods have become ubiquitous for non-smooth optimization owing to their simplicity and efficiency. In this paper, we consider the Forward-Douglas-Rachford splitting method and study both global and local convergence rates of this method. For the global rate, we establish a sublinear convergence rate in terms of a Bregman divergence suitably designed for the objective function. Moreover, when specializing to the Forward-Backward splitting, we prove a stronger convergence rate result for the objective function value. Then locally, based on the assumption that the non-smooth part of the optimization problem is partly smooth, we establish local linear convergence of the method. More precisely, we show that the sequence generated by Forward-Douglas-Rachford first (i) identifies a smooth manifold in a finite number of iteration and then (ii) enters a local linear convergence regime, which is for instance characterized in terms of the structure of the underlying active smooth manifold. To exemplify the usefulness of the obtained result, we consider several concrete numerical experiments arising from applicative fields including, for instance, signal/image processing, inverse problems and machine learning."
10.48550/arxiv.1109.2415,0,False,kw:openalex:CY1,2011,Convergence Rates of Inexact Proximal-Gradient Methods for Convex Optimization,Mark Schmidt; Nicolas Le Roux; Francis Bach,arXiv (Cornell University),10.48550/arxiv.1109.2415,,https://openalex.org/W2168914046,"We consider the problem of optimizing the sum of a smooth convex function and a non-smooth convex function using proximal-gradient methods, where an error is present in the calculation of the gradient of the smooth term or in the proximity operator with respect to the non-smooth term. We show that both the basic proximal-gradient method and the accelerated proximal-gradient method achieve the same convergence rate as in the error-free case, provided that the errors decrease at appropriate rates.Using these rates, we perform as well as or better than a carefully chosen fixed error level on a set of structured sparsity problems."
10.1155/2021/9980309,0,False,fwd:CY15,2021,Convergence Theorems for the Variational Inequality Problems and Split Feasibility Problems in Hilbert Spaces,Panisa Lohawech; Anchalee Kaewcharoen; Ali Farajzadeh,International Journal of Mathematics and Mathematical Sciences,10.1155/2021/9980309,,W3167762789,"In this paper, we establish an iterative algorithm by combining Yamada’s hybrid steepest descent method and Wang’s algorithm for finding the common solutions of variational inequality problems and split feasibility problems. The strong convergence of the sequence generated by our suggested iterative algorithm to such a common solution is proved in the setting of Hilbert spaces under some suitable assumptions imposed on the parameters. Moreover, we propose iterative algorithms for finding the common solutions of variational inequality problems and multiple‐sets split feasibility problems. Finally, we also give numerical examples for illustrating our algorithms."
10.1186/s13660-019-2097-4,0,False,fwd:CY15;fwd:OY02,2019,Convergence analysis of a variable metric forward–backward splitting algorithm with applications,Fuying Cui; Yuchao Tang; Chuanxi Zhu,Journal of Inequalities and Applications,10.1186/s13660-019-2097-4,1809.06525,W2889868692,"The forward–backward splitting algorithm is a popular operator-splitting method for solving monotone inclusion of the sum of a maximal monotone operator and an inverse strongly monotone operator. In this paper, we present a new convergence analysis of a variable metric forward–backward splitting algorithm with extended relaxation parameters in real Hilbert spaces. We prove that this algorithm is weakly convergent when certain weak conditions are imposed upon the relaxation parameters. Consequently, we recover the forward–backward splitting algorithm with variable step sizes. As an application, we obtain a variable metric forward–backward splitting algorithm for solving the minimization problem of the sum of two convex functions, where one of them is differentiable with a Lipschitz continuous gradient. Furthermore, we discuss the applications of this algorithm to the fundamental of the variational inequalities problem, constrained convex minimization problem, and split feasibility problem. Numerical experimental results on LASSO problem in statistical learning demonstrate the effectiveness of the proposed iterative algorithm."
10.1007/978-3-642-30901-4_3,0,False,fwd:OY02,2012,Convergence of Iterative Methods,Andrzej Cegielski,Lecture notes in mathematics,10.1007/978-3-642-30901-4_3,,W1859371809,
10.1007/s00245-019-09584-z,0,False,fwd:CY15,2019,Convergence of a Relaxed Inertial Forward–Backward Algorithm for Structured Monotone Inclusions,Hédy Attouch; Alexandre Cabot,Applied Mathematics & Optimization,10.1007/s00245-019-09584-z,,W2800783024,
10.1109/icassp.2019.8682318,0,False,fwd:CY15,2019,Convexity-edge-preserving Signal Recovery with Linearly Involved Generalized Minimax Concave Penalty Function,Jiro Abe; Masao Yamagishi; Isao Yamada,,10.1109/icassp.2019.8682318,,W2937855996,"In this paper, we propose a new linearly involved convexity-preserving model for signal recovery by extending the idea in the generalized minimax concave (GMC) penalty [Se-lesnick' 17]. The proposed model can use nonconvex penalties but maintain the overall convexity and is applicable to much more general scenarios of signal recovery than the original GMC model. We also propose a new iterative algorithm which has theoretical guarantee of convergence to a global minimizer of the proposed model. A numerical experiment for noise suppression shows excellent edge-preserving performance of the proposed smoother in comparison with the standard convex TV smoother."
10.1609/aaai.v32i1.11573,0,True,kw:openalex:CY2,2018,Convolutional 2D Knowledge Graph Embeddings,Tim Dettmers; Pasquale Minervini; Pontus Stenetorp; Sebastian Riedel,Proceedings of the AAAI Conference on Artificial Intelligence,10.1609/aaai.v32i1.11573,,https://openalex.org/W2728059831,"Link prediction for knowledge graphs is the task of predicting missing relationships between entities. Previous work on link prediction has focused on shallow, fast models which can scale to large knowledge graphs. However, these models learn less expressive features than deep, multi-layer models — which potentially limits performance. In this work we introduce ConvE, a multi-layer convolutional network model for link prediction, and report state-of-the-art results for several established datasets. We also show that the model is highly parameter efficient, yielding the same performance as DistMult and R-GCN with 8x and 17x fewer parameters. Analysis of our model suggests that it is particularly effective at modelling nodes with high indegree — which are common in highly-connected, complex knowledge graphs such as Freebase and YAGO3. In addition, it has been noted that the WN18 and FB15k datasets suffer from test set leakage, due to inverse relations from the training set being present in the test set — however, the extent of this issue has so far not been quantified. We find this problem to be severe: a simple rule-based model can achieve state-of-the-art results on both WN18 and FB15k. To ensure that models are evaluated on datasets where simply exploiting inverse relations cannot yield competitive results, we investigate and validate several commonly used datasets — deriving robust variants where necessary. We then perform experiments on these robust datasets for our own and several previously proposed models, and find that ConvE achieves state-of-the-art Mean Reciprocal Rank across all datasets."
10.1016/j.laa.2021.09.004,0,False,fwd:CY15,2021,Convolutional proximal neural networks and Plug-and-Play algorithms,Johannes Hertrich; Sebastian Neumayer; Gabriele Steidl,Linear Algebra and its Applications,10.1016/j.laa.2021.09.004,2011.02281,W3095914024,
10.4310/amsa.2016.v1.n1.a2,0,False,kw:openalex:CY1,2016,"Coordinate-friendly structures, algorithms and applications",Zhimin Peng; Tianyu Wu; Yangyang Xu; Ming Yan; Wotao Yin,Annals of Mathematical Sciences and Applications,10.4310/amsa.2016.v1.n1.a2,,https://openalex.org/W2226862355,"This paper focuses on coordinate update methods, which are useful for solving problems involving large or high-dimensional datasets.They decompose a problem into simple subproblems, where each updates one, or a small block of, variables while fixing others.These methods can deal with linear and nonlinear mappings, smooth and nonsmooth functions, as well as convex and nonconvex problems.In addition, they are easy to parallelize.The great performance of coordinate update methods depends on solving simple subproblems.To derive simple subproblems for several new classes of applications, this paper systematically studies coordinate friendly operators that perform low-cost coordinate updates.Based on the discovered coordinate friendly operators, as well as operator splitting techniques, we obtain new coordinate update algorithms for a variety of problems in machine learning, image processing, as well as sub-areas of optimization.Several problems are treated with coordinate update for the first time in history.The obtained algorithms are scalable to large instances through parallel and even asynchronous computing.We present numerical examples to illustrate how effective these algorithms are."
10.1016/s0370-1573(03)00120-0,0,False,kw:openalex:CY3,2003,Cosmological constant—the weight of the vacuum,T Padmanabhan,Physics Reports,10.1016/s0370-1573(03)00120-0,,https://openalex.org/W1980458704,
10.1002/9781119827962.ch7,0,False,fwd:CY15,2022,Cyber Restrictions: Imperfect Communication in Power Control of Microgrids,Feng Liu; Zhaojian Wang; Changhong Zhao; Peng Yang,,10.1002/9781119827962.ch7,,W4291129099,"This chapter addresses the information asynchrony issue in the distributed power control of hybrid microgrids (MGs) to achieve an economic power dispatch. By introducing a virtual global clock with randomization, different kinds of asynchrony are fitted into a unified framework. For facilitating the implementation and application of distributed optimal control, the impact of imperfect communication must be taken into account in the design, which calls for asynchronous algorithms. The chapter also addresses the asynchronous distributed power control problem in hybrid AC/direct current (DC) MGs, considering different kinds of asynchrony, such as non-identical sampling rates and random time delays. The chapter proposes a real-time implementation of the algorithm by using the feedback of frequency/voltage measurements from the power system. It also suggests an operator-splitting approach to designing and analyzing distributed optimal controllers that are robust against imperfect communication."
