execution_id,config_id,seed,stage,commit_sha,configuration_id,dataset_train_sha256,dataset_valid_sha256,dataset_test_sha256,checkpoint_sha256,evaluator_identity,environment_path,out_dir,wall_sec,gpu_peak_mb,status,test_eval_skipped,started_utc
277ecb72b5b345ed,A3,3,SCREENING,f52f898b8e6e9a7bcf637f8b046107c19b511fb3,7f63d363c2fc54ca,6e4c2782169af21e9743f3b1d200886f5d595bf6bc504ec1351720949c5cdfae,cf6309010852f6a8d47a45df830a426415d1ee6f7a3970a8376ff1fb81db4a5c,5711cf41623ceb4eacc50eb6108a3ca6565c7492e3caaf82a3e355cc660d1574,f28b19f4517a66ec0cd840f65b925d3254274cac5109fb06e784587ae89141e9,seion_kgr.evaluate.evaluate (blocked filtered evaluator),campaigns\gate13\gate13_5\runs\full\seed3_A3\environment.json,campaigns\gate13\gate13_5\runs\full\seed3_A3,6959.216454982758,455.343104,COMPLETED,True,2026-08-06T05:11:03.152157Z
cfe0d199d1be4bf1,A0,2,MATCHED_STAGE4_CONTROL,f52f898b8e6e9a7bcf637f8b046107c19b511fb3,6ff8536ad3a7da59,6e4c2782169af21e9743f3b1d200886f5d595bf6bc504ec1351720949c5cdfae,cf6309010852f6a8d47a45df830a426415d1ee6f7a3970a8376ff1fb81db4a5c,5711cf41623ceb4eacc50eb6108a3ca6565c7492e3caaf82a3e355cc660d1574,84dcf47fd80716363470c5226f6e689d93087813545da51a4010fd1447b868b9,seion_kgr.evaluate.evaluate (blocked filtered evaluator),campaigns\gate13\gate13_5\runs\full\seed2_A0_matched\environment.json,campaigns\gate13\gate13_5\runs\full\seed2_A0_matched,486.179386138916,124.55936,COMPLETED,True,2026-08-06T07:18:55.451352Z
5fbdad38040f41bb,A0,3,MATCHED_STAGE4_CONTROL,f52f898b8e6e9a7bcf637f8b046107c19b511fb3,36fef0355f178a04,6e4c2782169af21e9743f3b1d200886f5d595bf6bc504ec1351720949c5cdfae,cf6309010852f6a8d47a45df830a426415d1ee6f7a3970a8376ff1fb81db4a5c,5711cf41623ceb4eacc50eb6108a3ca6565c7492e3caaf82a3e355cc660d1574,08c52d8cb604dc587eb4d623a491cee7ec29ab5a92fc988ba0c7f8bc34320c97,seion_kgr.evaluate.evaluate (blocked filtered evaluator),campaigns\gate13\gate13_5\runs\full\seed3_A0_matched\environment.json,campaigns\gate13\gate13_5\runs\full\seed3_A0_matched,524.3228406906128,124.55936,COMPLETED,True,2026-08-06T07:28:59.299522Z
f58fdd7ecd4246b8,W2,1,STANDALONE_WARM_STARTED,a48439ee21935cc01fcb79a2641a9b67c9110dc2,3f2a95c8b3e54519,6e4c2782169af21e9743f3b1d200886f5d595bf6bc504ec1351720949c5cdfae,cf6309010852f6a8d47a45df830a426415d1ee6f7a3970a8376ff1fb81db4a5c,5711cf41623ceb4eacc50eb6108a3ca6565c7492e3caaf82a3e355cc660d1574,208f6ea4214b3615f1bab73a6c931335ebca0020af3b8a7e3834b9dfd08667de,seion_kgr.evaluate.evaluate (blocked filtered evaluator),campaigns\gate13\gate13_5\runs\standalone\warm_started\W2_seed1_retry2_20260807\environment.json,campaigns\gate13\gate13_5\runs\standalone\warm_started\W2_seed1_retry2_20260807,765.3586719036102,120.650752,COMPLETED,True,2026-08-07T08:28:04.833244+00:00
f3e36fc4bd8040c9,W2,2,STANDALONE_WARM_STARTED,76a462a5a98b7d6768b163ebf5ad90def6cabf30,11990534fa83f6ba,6e4c2782169af21e9743f3b1d200886f5d595bf6bc504ec1351720949c5cdfae,cf6309010852f6a8d47a45df830a426415d1ee6f7a3970a8376ff1fb81db4a5c,5711cf41623ceb4eacc50eb6108a3ca6565c7492e3caaf82a3e355cc660d1574,fc4222c622d4f014e2fffc9fb14e8b50abba8f2ba61d45e917f7f76801e8e998,seion_kgr.evaluate.evaluate (blocked filtered evaluator),campaigns\gate13\gate13_5\runs\standalone\warm_started\W2_seed2_20260807\environment.json,campaigns\gate13\gate13_5\runs\standalone\warm_started\W2_seed2_20260807,753.3055996894836,120.650752,COMPLETED,True,2026-08-07T08:42:57.088885+00:00
066eb68aad004248,W2,3,STANDALONE_WARM_STARTED,76a462a5a98b7d6768b163ebf5ad90def6cabf30,7be622b4f040a732,6e4c2782169af21e9743f3b1d200886f5d595bf6bc504ec1351720949c5cdfae,cf6309010852f6a8d47a45df830a426415d1ee6f7a3970a8376ff1fb81db4a5c,5711cf41623ceb4eacc50eb6108a3ca6565c7492e3caaf82a3e355cc660d1574,24e10dfad68ff972a14c1abf137714a47fad65a8911149c993358371a562f9a2,seion_kgr.evaluate.evaluate (blocked filtered evaluator),campaigns\gate13\gate13_5\runs\standalone\warm_started\W2_seed3_20260807\environment.json,campaigns\gate13\gate13_5\runs\standalone\warm_started\W2_seed3_20260807,767.059220790863,120.650752,COMPLETED,True,2026-08-07T08:56:45.790128+00:00
723bda49909c4bc9,R2,1,GENERIC_RESIDUAL_MATCHED,762c3103cc40e6046857e047c0a13a9bcf538685,c8a3d55ed7cb38ae,6e4c2782169af21e9743f3b1d200886f5d595bf6bc504ec1351720949c5cdfae,cf6309010852f6a8d47a45df830a426415d1ee6f7a3970a8376ff1fb81db4a5c,5711cf41623ceb4eacc50eb6108a3ca6565c7492e3caaf82a3e355cc660d1574,0764702082c218bf6503e3c98f964c1cf8a0937887a195d6fdb38f954e387a53,seion_kgr.evaluate.evaluate (blocked filtered evaluator),campaigns\gate13\gate13_5\runs\residual_control\R2_seed1_20260807\environment.json,campaigns\gate13\gate13_5\runs\residual_control\R2_seed1_20260807,869.5982582569122,137.37472,COMPLETED,True,2026-08-07T09:49:51.017922+00:00
435f66760d444751,R2,2,GENERIC_RESIDUAL_MATCHED,762c3103cc40e6046857e047c0a13a9bcf538685,58b9d20539054859,6e4c2782169af21e9743f3b1d200886f5d595bf6bc504ec1351720949c5cdfae,cf6309010852f6a8d47a45df830a426415d1ee6f7a3970a8376ff1fb81db4a5c,5711cf41623ceb4eacc50eb6108a3ca6565c7492e3caaf82a3e355cc660d1574,f8abc59af43de2209fa239b8e8560390e9fbe3645492f44f89ad4fcaaf220683,seion_kgr.evaluate.evaluate (blocked filtered evaluator),campaigns\gate13\gate13_5\runs\residual_control\R2_seed2_retry2_20260807\environment.json,campaigns\gate13\gate13_5\runs\residual_control\R2_seed2_retry2_20260807,761.4552140235901,137.37472,COMPLETED,True,2026-08-07T10:07:53.479049+00:00
d2980306141948a0,R2,3,GENERIC_RESIDUAL_MATCHED,762c3103cc40e6046857e047c0a13a9bcf538685,d8a412a5fa79f75d,6e4c2782169af21e9743f3b1d200886f5d595bf6bc504ec1351720949c5cdfae,cf6309010852f6a8d47a45df830a426415d1ee6f7a3970a8376ff1fb81db4a5c,5711cf41623ceb4eacc50eb6108a3ca6565c7492e3caaf82a3e355cc660d1574,406577c9ac6dc9a0966f96dea0064edb1e8d13ed59bc69319ef7b2413335c13f,seion_kgr.evaluate.evaluate (blocked filtered evaluator),campaigns\gate13\gate13_5\runs\residual_control\R2_seed3_20260807\environment.json,campaigns\gate13\gate13_5\runs\residual_control\R2_seed3_20260807,849.2951946258545,137.37472,COMPLETED,True,2026-08-07T10:22:28.093596+00:00
baac934e1e09468c,W1,1,STANDALONE_WARM_STARTED,762c3103cc40e6046857e047c0a13a9bcf538685,e600e09988e397bd,6e4c2782169af21e9743f3b1d200886f5d595bf6bc504ec1351720949c5cdfae,cf6309010852f6a8d47a45df830a426415d1ee6f7a3970a8376ff1fb81db4a5c,5711cf41623ceb4eacc50eb6108a3ca6565c7492e3caaf82a3e355cc660d1574,0283fac1b09745d1c8204accf973efc1201429776668af25f2499a87ea04867b,seion_kgr.evaluate.evaluate (blocked filtered evaluator),campaigns\gate13\gate13_5\runs\standalone\warm_started\W1_seed1_20260807\environment.json,campaigns\gate13\gate13_5\runs\standalone\warm_started\W1_seed1_20260807,2311.002156019211,463.030272,COMPLETED,True,2026-08-07T10:38:16.341036+00:00
a2931172bad14ee9,W1,2,STANDALONE_WARM_STARTED,762c3103cc40e6046857e047c0a13a9bcf538685,b1b8af47cc9972a5,6e4c2782169af21e9743f3b1d200886f5d595bf6bc504ec1351720949c5cdfae,cf6309010852f6a8d47a45df830a426415d1ee6f7a3970a8376ff1fb81db4a5c,5711cf41623ceb4eacc50eb6108a3ca6565c7492e3caaf82a3e355cc660d1574,15a6877c16eff25581305751022e6912b00c67c14cba1ff25c94000842c9771c,seion_kgr.evaluate.evaluate (blocked filtered evaluator),campaigns\gate13\gate13_5\runs\standalone\warm_started\W1_seed2_20260807\environment.json,campaigns\gate13\gate13_5\runs\standalone\warm_started\W1_seed2_20260807,2298.3958599567413,451.828736,COMPLETED,True,2026-08-07T11:19:02.751178+00:00
655ffd83908841f2,W1,3,STANDALONE_WARM_STARTED,762c3103cc40e6046857e047c0a13a9bcf538685,66f0a117003323c4,6e4c2782169af21e9743f3b1d200886f5d595bf6bc504ec1351720949c5cdfae,cf6309010852f6a8d47a45df830a426415d1ee6f7a3970a8376ff1fb81db4a5c,5711cf41623ceb4eacc50eb6108a3ca6565c7492e3caaf82a3e355cc660d1574,186681cdef3337dd6c66fc591c21c1f764f7c8caae591c6862c1b772d4633572,seion_kgr.evaluate.evaluate (blocked filtered evaluator),campaigns\gate13\gate13_5\runs\standalone\warm_started\W1_seed3_20260807\environment.json,campaigns\gate13\gate13_5\runs\standalone\warm_started\W1_seed3_20260807,2303.0891258716583,453.144064,COMPLETED,True,2026-08-07T11:59:34.536433+00:00
