key,screen_tier,score,red_flag,origin,families,sources,via,title,year,authors,venue,doi,arxiv,openalex,zbmath,msc,cited_by,abstract
10.3929/ethz-a-005115027,T3,0,False,snowball,K,openalex-citations,forward:10.1109/18.796385,Security of quantum key distribution,2005,Renato Renner,Repository for Publications and Research Data (ETH Zurich),10.3929/ethz-a-005115027,,https://openalex.org/W2081349667,,,280,"Quantum Information Theory is an area of physics which studies both fundamental and applied issues in quantum mechanics from an information-theoretical viewpoint. The underlying techniques are, however, often restricted to the analysis of systems which satisfy a certain independence condition. For example, it is assumed that an experiment can be repeated independently many times or that a large physical system consists of many virtually independent parts. Unfortunately, such assumptions are not always justified. This is particularly the case for practical applications — e.g. in quantum cryptography — where parts of a system might have an arbitrary and unknown behavior. We propose an approach which allows us to study general physical systems for which the above mentioned independence condition does not necessarily hold. It is based on an extension of various information-theoretical notions. For example, we introduce new uncertainty measures, called smooth min- and max-entropy, which are generalizations of ..."
10.1007/s00220-006-0118-x,T3,0,False,snowball,K,openalex-citations,forward:10.1109/18.796385,Quantum State Merging and Negative Information,2006,Michał Horodecki; Jonathan Oppenheim; Andreas Winter,Communications in Mathematical Physics,10.1007/s00220-006-0118-x,,https://openalex.org/W2005952170,,,272,
10.1017/9781316809976.001,T3,0,False,snowball,K,openalex-citations,forward:10.1109/18.796385,Preface to the Second Edition,2016,Mark M. Wilde,Cambridge University Press eBooks,10.1017/9781316809976.001,,https://openalex.org/W1785526227,,,208,"It has now been some years since I completed the first draft of the first edition of this book. In this time, I have learned much from many collaborators and I am grateful to them. During the past few years, Mario Berta, Nilanjana Datta, Saikat Guha, and Andreas Winter have strongly shaped my thinking about quantum information theory, and Mario and Nilanjana in particular have influenced my technical writing style, which is reflected in the new edition of the book. Also, the chance to work with them and others has led me to new research directions in quantum information theory that I never would have imagined on my own. I am also thankful to Todd Brun, Paul Cuff, Ludovico Lami, Ciara Morgan, and Giannicola Scarpa for using the book as the main text in their graduate courses on quantum information theory and for feedback. One can try as much as possible to avoid typos in a book, but inevitably, they seem to show up in unexpected places. I am grateful to many people for pointing out typos or errors and for suggesting how to fix them, including Todd Brun, Giulio Chiribella, Paul Cuff, Dawei (David) Ding, Will Matthews, Milan Mosonyi, David Reeb, and Marco Tomamichel. I also thank Cors"
10.1109/tit.2009.2039166,T3,0,False,snowball,E;K,openalex-citations,backward:10.1109/TIT.2010.2054130;forward:10.1109/18.796385,The Quantum Capacity of Channels With Arbitrarily Correlated Noise,2010,Francesco Buscemi; Nilanjana Datta,IEEE Transactions on Information Theory,10.1109/tit.2009.2039166,,https://openalex.org/W2148725952,,,201,"We study optimal rates for quantum communication over a single use of a channel, which itself can correspond to a finite number of uses of a channel with arbitrarily correlated noise. The corresponding capacity is often referred to as theone-shotquantum capacity. In this paper, we prove bounds on the one-shot quantum capacity of an arbitrary channel. This allows us to compute the quantum capacity of a channel with arbitrarily correlated noise, in the limit of asymptotically many uses of the channel. In the memoryless case, we explicitly show that our results reduce to known expressions for the quantum capacity."
10.1088/1367-2630/12/5/055020,T3,0,False,snowball,K,openalex-citations,forward:10.1109/18.796385,A quantum central limit theorem for non-equilibrium systems: exact local relaxation of correlated states,2010,M. Cramer; Jens Eisert,New Journal of Physics,10.1088/1367-2630/12/5/055020,,https://openalex.org/W2021128311,,,185,"We prove that quantum many-body systems on a one-dimensional lattice locally relax to Gaussian states under non-equilibrium dynamics generated by a bosonic quadratic Hamiltonian. This is true for a large class of initial states—pure or mixed—which have to satisfy merely weak conditions concerning the decay of correlations. The considered setting is a proven instance of a situation where dynamically evolving closed quantum systems locally appear as if they had truly relaxed, to maximum entropy states for fixed second moments. This furthers the understanding of relaxation in suddenly quenched quantum many-body systems. The proof features a non-commutative central limit theorem for non-i.i.d. random variables, showing convergence to Gaussian characteristic functions, giving rise to trace-norm closeness. We briefly link our findings to the ideas of typicality and concentration of measure."
10.1007/s11122-005-0002-x,T3,0,False,snowball,K,openalex-citations,forward:10.1109/18.796385,Quantum privacy and quantum wiretap channels,2004,Ning Cai; Andreas Winter; Raymond W. Yeung,Problems of Information Transmission,10.1007/s11122-005-0002-x,,https://openalex.org/W2040211109,,,178,
10.1038/ncomms8908,T3,0,False,snowball,K,openalex-citations,forward:10.1109/18.796385,Generic emergence of classical features in quantum Darwinism,2015,Fernando G. S. L. Brandão; Marco Piani; Paweł Horodecki,Nature Communications,10.1038/ncomms8908,,https://openalex.org/W1906108628,,,146,"Quantum Darwinism posits that only specific information about a quantum system that is redundantly proliferated to many parts of its environment becomes accessible and objective, leading to the emergence of classical reality. However, it is not clear under what conditions this mechanism holds true. Here we prove that the emergence of classical features along the lines of quantum Darwinism is a general feature of any quantum dynamics: observers who acquire information indirectly through the environment have effective access at most to classical information about one and the same measurement of the quantum system. Our analysis does not rely on a strict conceptual splitting between a system-of-interest and its environment, and allows one to interpret any system as part of the environment of any other system. Finally, our approach leads to a full operational characterization of quantum discord in terms of local redistribution of correlations. Quantum Darwinism provides an explanation for the emergence of classical reality from the underlying quantum world, as information proliferates in the environment and becomes objective. Here, the authors show how some aspects of this mechanism is "
10.1109/tit.2008.924665,T3,0,False,snowball,K,openalex-citations,forward:10.1109/18.796385,Capacity theorems for quantum multiple-access channels: classical-quantum and quantum-quantum capacity regions,2008,Jon Yard; Patrick Hayden; Igor Devetak,IEEE Transactions on Information Theory,10.1109/tit.2008.924665,,https://openalex.org/W2132333350,,,124,"We consider quantum channels with two senders and one receiver. For an arbitrary such channel, we give multiletter characterizations of two different two-dimensional capacity regions. The first region comprises the rates at which it is possible for one sender to send classical information, while the other sends quantum information. The second region consists of the rates at which each sender can send quantum information. For each region, we give an example of a channel for which the corresponding region has a single-letter description. One of our examples relies on a new result proved here, perhaps of independent interest, stating that the coherent information over any degradable channel is concave in the input density operator. We conclude with connections to other work and a discussion on generalizations where each user simultaneously sends classical and quantum information."
10.1103/physreva.68.042301,T3,0,False,snowball,K,openalex-citations,forward:10.1109/18.796385,Classical data compression with quantum side information,2003,Igor Devetak; Andreas Winter,Physical Review A,10.1103/physreva.68.042301,,https://openalex.org/W2000270505,,,119,The problem of classical data compression when the decoder has quantum side information at his disposal is considered. This is a quantum generalization of the classical Slepian-Wolf theorem. The optimal compression rate is found to be reduced from the Shannon entropy of the source by the Holevo information between the source and side information.
10.1103/physrevlett.110.080501,T3,0,False,snowball,K,openalex-citations,forward:10.1109/18.796385,Fundamental Bound on the Reliability of Quantum Information Transmission,2013,Naresh Sharma; Naqueeb Ahmad Warsi,Physical Review Letters,10.1103/physrevlett.110.080501,,https://openalex.org/W1907064244,,,108,"Information theory tells us that if the rate of sending information across a noisy channel were above the capacity of that channel, then the transmission would necessarily be unreliable. For classical information sent over classical or quantum channels, one could, under certain conditions, make a stronger statement that the reliability of the transmission shall decay exponentially to zero with the number of channel uses, and the proof of this statement typically relies on a certain fundamental bound on the reliability of the transmission. Such a statement or the bound has never been given for sending quantum information. We give this bound and then use it to give the first example where the reliability of sending quantum information at rates above the capacity decays exponentially to zero. We also show that our framework can be used for proving generalized bounds on the reliability."
