key,new_vs_harvest,score,red_flag,families,via,title,year,authors,venue,doi,openalex,cited_by,abstract
10.1090/s0002-9904-1977-14406-6,True,2,False,I,backward:10.1006/jmaa.1997.5202,Practical and mathematical aspects of the problem of reconstructing objects from radiographs,1977,Kennan T. Smith; Donald C. Solmon; Sheldon L. Wagner,Bulletin of the American Mathematical Society,10.1090/s0002-9904-1977-14406-6,https://openalex.org/W2171073252,359,"material or with a relatively noninvasive use of it.The disadvantage of the scanners is that they are so expensive and elaborate as to be out of the range of the ordinary small hospital.Moreover, they are completely inflexible, producing cross sections of the density function whether or not this is the best information for a given problem, and sometimes producing them in far from the best way.The objective of our work has been to produce equivalent results, but with ordinary hospital equipment that is available everywhere, and with the flexibility to produce other kinds of results too.The brain is a particularly good starting point in the study of medical radiology for another reason than its medical significance.With the small density differences, masked by the skull, it offers the maximum theoretical difficulty, while at the same time, having no moving parts, it offers the minimum technical difficulty.The lessons learned from the brain can be expected to be of good use on other parts of the body, and in nonmedical problems as well.Already these lessons are leading to encouraging experiments also described here in the diagnosis of gall stones, breast cancer, and vascular lesions-all by methods other than cross section reconstruction.These practical problems lead to interesting mathematical problems that require rather sophisticated theorems for their solution.And the mathematical solutions, in return, although they rarely provide computationally useful formulas, error bounds, and the like, do have a direct and important effect.They set the directions from which the practical problem should be approached.A vast amount of work is being done these days on cross section reconstructions, and it spans many fields:-medicine, molecular biology, neutron radiography, and radio astronomy, to name a few.This article is not intended as a survey of the field.It is a personal account of our own work, and it makes no mention of any other, apart from occasional comparisons of what "
10.1007/bf01027691,True,2,False,I,backward:10.1006/jmaa.1997.5202,On the convergence of von Neumann's alternating projection algorithm for two sets,1993,Heinz H. Bauschke; Jonathan M. Borwein,Set-Valued Analysis,10.1007/bf01027691,https://openalex.org/W2052059821,303,
10.1090/s0002-9947-1937-1501907-0,True,2,False,I,backward:10.1006/jmaa.1997.5202,On certain inequalities and characteristic value problems for analytic functions and for functions of two variables,1937,Kurt Friedrichs,Transactions of the American Mathematical Society,10.1090/s0002-9947-1937-1501907-0,https://openalex.org/W1997167553,190,"ANALYTIC FUNCTIONS 323 periodic function z = z(s) of a parameter s.Except at a finite number of corners this function shall have a continuous derivative ¿Tá(s)' which, at each corner, is continuous on both sides.We can assume dz z = ds We set Az(s) = Then we have (2.3)'KURT FRIEDRICHS [May z(s + a) -z(s) Az(s) = ¿(s + a) -z(s) Az(s)-z(s)\ g-, 4 3 .5 -^ Az(s) ^-4 4 We choose a number p >0 in such a way that | s' -s | ^ o-as | z(s') -z(s) | g p and a number T > 0 in such a way that and (2.4) T Consequently we have (2.4)'Az(s') -Az(s) rs7> iS -as 40 î ^ <r.á-|s'-s|+^-|5'-s( + -\t'-t\ 4 ' ' 40 ' 4 ' ' ce e -+ -+» -4 40 4 (í' -í) + *(/'-0|.Now let z' = z.Then we have | z(s') -z(s) I = I t'Az(s') -/Az(s) | ^ /' | Az(s') | + /1 Az(j) | 5 ^ 27-^ p. 4"
10.1007/978-94-015-8577-4_7,True,2,False,I,backward:10.1006/jmaa.1997.5202,The Angle Between Subspaces of a Hilbert Space,1995,Frank Deutsch,,10.1007/978-94-015-8577-4_7,https://openalex.org/W2089196355,160,
10.1007/978-94-011-2634-2_5,True,2,False,I,backward:10.1006/jmaa.1997.5202,The Method of Alternating Orthogonal Projections,1992,Frank Deutsch,,10.1007/978-94-011-2634-2_5,https://openalex.org/W33977302,118,
10.1007/978-3-0348-6253-0_7,True,2,False,I,backward:10.1006/jmaa.1997.5202,Rate of Convergence of the Method of Alternating Projections,1984,Frank Deutsch,International series of numerical mathematics,10.1007/978-3-0348-6253-0_7,https://openalex.org/W1577020372,93,A proof is given of a rate of convergence theorem for the method of alternating projections. The theorem had been announced earlier in [8] without proof. These keywords were added by machine and not by the authors. This process is experimental and the keywords may be updated as the learning algorithm improves.
10.1137/s0036144593251710,True,2,False,I,forward:10.1006/jmaa.1997.5202,On Projection Algorithms for Solving Convex Feasibility Problems,1996,Heinz H. Bauschke; Jonathan M. Borwein,SIAM Review,10.1137/s0036144593251710,https://openalex.org/W2033511209,1718,"Due to their extraordinary utility and broad applicability in many areas of classical mathematics and modern physical sciences (most notably, computerized tomography), algorithms for solving convex feasibility problems continue to receive great attention. To unify, generalize, and review some of these algorithms, a very broad and flexible framework is investigated. Several crucial new concepts which allow a systematic discussion of questions on behaviour in general Hilbert spaces and on the quality of convergence are brought out. Numerous examples are given."
10.1093/imanum/22.3.329,True,2,False,I,forward:10.1006/jmaa.1997.5202,Computing the nearest correlation matrix--a problem from finance,2002,Nicholas J. Higham,IMA Journal of Numerical Analysis,10.1093/imanum/22.3.329,https://openalex.org/W2091560152,910,"Given a symmetric matrix, what is the nearest correlation matrix—that is, the nearest symmetric positive semidefinite matrix with unit diagonal? This problem arises in the finance industry, where the correlations are between stocks. For distance measured in two weighted Frobenius norms we characterize the solution using convex analysis. We show how the modified alternating projections method can be used to compute the solution for the more commonly used of the weighted Frobenius norms. In the finance application the original matrix has many zero or negative eigenvalues; we show that for a certain class of weights the nearest correlation matrix has correspondingly many zero eigenvalues and that this fact can be exploited in the computation."
10.1080/01630569808816813,True,2,False,I,forward:10.1006/jmaa.1997.5202,Minimizing certain convex functions over the intersection of the fixed point sets of nonexpansive mappings,1998,,Numerical Functional Analysis and Optimization,10.1080/01630569808816813,https://openalex.org/W1441652847,197,"Let be nonexpansive mappings on a Hilbert space H, and let be a function which has a uniformly strongly positive and uniformly bounded second (Fréchet) derivative over the convex hull of Ti(H) for some i. We first prove that Θ has a unique minimum over the intersection of the fixed point sets of all the Ti’s at some point u*. Then a cyclic hybrid steepest descent algorithm is proposed and we prove that it converges to u*. This generalizes some recent results of Wittmann (1992), Combettes (1995), Bauschke (1996), and Yamada, Ogura, Yamashita, and Sakaniwa (1997). In particular, the minimization of Θ over the intersection of closed convex sets Ci can be handled by taking Ti to be the metric projection Pci onto Ci. We also propose a modification of our algorithm to handle the inconsistent case (i.e., when is empty as well."
10.1016/j.laa.2015.06.027,True,2,False,I,forward:10.1006/jmaa.1997.5202,Randomized block Kaczmarz method with projection for solving least squares,2015,Deanna Needell; Ran Zhao; Anastasios Zouzias,Linear Algebra and its Applications,10.1016/j.laa.2015.06.027,https://openalex.org/W1754711404,167,
projectionalgorithmsandmonotoneoperators,True,2,False,I,forward:10.1006/jmaa.1997.5202,Projection algorithms and monotone operators,1996,Jonathan M. Borwein; Heinz Hermann Bauschke,,,https://openalex.org/W1557931734,97,"This thesis consists of two parts.
In Part I, projection algorithms for solving convex feasibility problems in Hilbert space are studied. Powerful techniques from Convex Analysis are employed within a very general framework that covers and extends many well-known results. Ostensibly different looking conditions sufficient for linear convergence are shown to be special instances of regularity--a concept new in this context. Numerous examples, including subgradient algorithms, are presented.
Several notions of monotonicity of operators on Banach spaces are analyzed in Part II. Utilizing Convex and Functional Analysis, it is shown that for a bounded linear positive semi-definite operator, all these monotonicities coincide with the monotonicity of the conjugate operator. Moreover, monotonicity of the conjugate operator is automatic in many classical Banach spaces but not in spaces containing a complemented copy of the space of absolutely convergent sequences."
